,Comentario,Texto limpio
0,"Excelente lugar lleno de conocimiento y cultura con bases científicas, excelente para entender el desarrollo humano y en algunas salas específicamente tiempos más recientes. Todo es muy interesante vale la pena venir con familia. Fui en domingo y no cobran entrada( piden INE) solo a extranjeros es una exelente medida para no limitar el conocimiento.",excelente lleno conocimiento cultura bases científicas excelente entender desarrollo humano salas específicamente tiempos recientes interesante vale pena venir familia domingo cobran entrada piden ine extranjeros exelente medida limitar conocimiento
1,"Extraordinario, sin duda se gana ser el museo más importante de México y Latinoamérica, instalaciones muy cuidadas, es imponente ver las piezas en estado casi perfecto, un lugar que para recorrerse con mucho tiempo, un recorrido rápido es de 2 horas, me hubiese gustado dedicarle 4 horas en total, hay tienda de souvenirs precios no muy elevados, sanitarios y restaurante por fuera de las salas, cuidan mucho que portes tu cubrebocas, para adquirir el boleto puedes pagar con tarjeta o efectivo, aconsejo no llevar mochila ya que te pedirán resguardarla en los lockers que ofrecen. Un lugar que todo mexicano debe pasar al menos una vez en su vida.",extraordinario duda gana museo importante méxico latinoamérica instalaciones cuidadas imponente piezas perfecto recorrerse recorrido rápido gustado dedicarle tienda souvenirs precios elevados sanitarios restaurante salas cuidan portes cubrebocas adquirir boleto puedes pagar tarjeta efectivo aconsejo mochila pedirán resguardarla lockers ofrecen mexicano pasar vida
2,"Un museo lleno de historia, muy bello. Se exponen una gran cantidad de obras y artículos históricos que representan cada una de las etapas y culturas precolombinas y coloniales de México. Dentro de las consideraciones es que hay que madrugar por la gran cantidad de gente que forma para entrar, los estudiantes entran gratis, si es un sitio muy amplio por lo que anoten 1 o 2 días para su recorrido. No olviden llevar agua para hidratarse, sin embargo, cualquier alimento de otro tipo queda prohibido.",museo lleno historia bello exponen cantidad obras artículos históricos representan etapas culturas precolombinas coloniales méxico consideraciones madrugar cantidad gente forma entrar estudiantes entran gratis sitio amplio anoten recorrido olviden agua hidratarse alimento tipo queda prohibido
3,"El lugar indicado para conocer sobre nuestra cultura. Lo visite un viernes, no habían muchas personas, siendo posible recorrer el museo con tranquilidad.",indicado cultura visite viernes personas recorrer museo tranquilidad
4,"Necesitas de más de dos horas para recorrer las instalaciones. No te permiten entrar con mochila, alimentos y bebidas.",necesitas recorrer instalaciones permiten entrar mochila alimentos bebidas
5,"Woow, el museo más importante de nuestro país. Todo mexicano debe recorrerlo. Las piezas mostradas forman parte fundamental de nuestra cultura como mexicanos.",woow museo importante país mexicano recorrerlo piezas mostradas forman fundamental cultura mexicanos
6,"Buen museo, extensa colección que cubre gran parte de la Historia mexicana.",museo extensa colección cubre historia mexicana
7,Se encuentra en CDMX Av la reforma. A mi modo de ver es un museo que es obligatoria su visita es una joya que muestra la historia y cultura de México. Es impactante. Para disfrutarlo se debe disponer de mínimo 6 horas. Tiene un buen restaurante.,cdmx av reforma museo obligatoria visita joya muestra historia cultura méxico impactante disfrutarlo disponer mínimo restaurante
8,"Las vistas que tienes desde la parte central hacía los rascacielos de reforma son una cosa maravillosa de ver. El museo por sí solo tiene tantísimo qué ver y tantísimo qué hacer que definitivamente no te bastaría un día para poder conocerlo completo. Pero sí para aprender muchísimo de toda la historia y cultura de México a lo largo de su existir. Me impresionó muchísimo oa cantidad de turismo internacional que había en este lugar lo cual sin duda alguna es una cosa muy bonita de ver. Este lugar tienen que añadirlo a su lista de cosas por hacer, es increíblemente grande y increíble en todo aspecto.",vistas central hacía rascacielos reforma cosa maravillosa museo tantísimo tantísimo definitivamente bastaría conocerlo completo aprender muchísimo historia cultura méxico existir impresionó muchísimo oa cantidad turismo internacional duda cosa bonita añadirlo lista increíblemente grande increíble aspecto
9,"Un museo que definitivamente debes visitar si vas a la ciudad de México, muy bonito, puedes conocer su cultura y sus orígenes, la historia y sus rituales. Me encantó ver la parte de los Mayas, pues es parte de nuestra historia. Afuera del museo puedes encontrar a los Aztecas y a los Voladores de Papantla haciendo su ritual. Algo muy bonito definitivamente, cómo conservan sus raíces.",museo definitivamente debes visitar vas ciudad méxico bonito puedes cultura orígenes historia rituales encantó mayas historia afuera museo puedes encontrar aztecas voladores papantla ritual bonito definitivamente conservan raíces
