,Comentario,Texto limpio
0,"Un sitio muy hermoso en medio de la ciudad. Me encantó la organización de las salas del museo y la continuidad que le dan a la historia del antiguo imperio azteca, acomodadas de una gran variedad de piezas únicas. Me hubiera gustado que el establecimiento tuvieron algún servicio de guia e instrucción. Un punto a considerar para el visitante es que algunas salas tienen restringido el acceso. Y estudiantes tienen acceso gratis.",sitio hermoso ciudad encantó organización salas museo continuidad historia antiguo imperio azteca acomodadas variedad piezas únicas gustado establecimiento servicio guia instrucción punto considerar visitante salas restringido acceso estudiantes acceso gratis
1,Una extraordinaria experiencia que permite echar un vistazo a la magestuosidad de la cultura mexica gracias al gran trabajo de los que participaron y aun participan en el proyecto del templo mayor. Han incluido presentaciones multimedia que muestran detalles  de las batallas entre mexicas y las fuerzas invasoras junto con sus aliados locales. Una visita que no puede faltar al turista nacional ni extranjero.,extraordinaria experiencia permite echar vistazo magestuosidad cultura mexica gracias participaron participan proyecto templo incluido presentaciones multimedia muestran detalles batallas mexicas fuerzas invasoras aliados locales visita faltar turista nacional extranjero
2,"Un museo realizado sobre las ruinas de lo qué desea qué recordemos. Nuestros orígenes.
Todos de una forma u otra tenemos legados innegables.
Conocer la historia nos permite no volverla a vivir y entender lo qué sucede a nuestro alrededor.
La tolerancia es la mayor escuela de paz. La intolerancia es una escuela de violencia.  Quizás algún día aprendamos.",museo ruinas desea recordemos orígenes forma u legados innegables historia permite volverla vivir entender sucede tolerancia escuela paz intolerancia escuela violencia aprendamos
3,"Excelente, si tienes credencial de estudiante porque entras gratis, y está muy grande en total son 8 salas de los objetos encontrados en el templo mayor.
La entrega cuesta a día de este comentario 80 pesos, niños menores de 12 años, adultos mayores de 60 años, y personas con discapacidad entran gratis.",excelente credencial estudiante entras gratis grande salas objetos encontrados templo entrega cuesta comentario pesos niños menores años adultos mayores años personas discapacidad entran gratis
4,"un tesoro en el corazon de la ciudad. De las mil razones para visitar la ciudad de Mexico, esta es una de las mas sorprendentes, normalmente acostumbramos ver zonas arqueologicas en lugares retirados, montes, bosques, selvas, sin embargo es impresionante que en el corazon de una ciudad tan grande y moderna, puedas ver los restos de una civilizacion tan antigua, conocer su historia y cultura, ver de primera mano las ruinas, entrar al museo y conocer mas de nuestros antepasados, por un precio sumamente accesible.",tesoro corazon ciudad mil razones visitar ciudad mexico sorprendentes normalmente acostumbramos zonas arqueologicas lugares retirados montes bosques selvas impresionante corazon ciudad grande moderna puedas restos civilizacion antigua historia cultura mano ruinas entrar museo antepasados precio sumamente accesible
5,"Hermoso!!! Lamentablemente está cerrado y solo se pueden ver las maquetas desde lejos así como piedras y la cabeza de serpiente. Hay mucha información de los descubrimientos que han estado haciendo y me parece sorprendente.

Lo único malo son unos personajes ""Guías locales"" que molestan a las personas y quieren venderte su servicio de guía que en lo personal no lo tomé pero me parecen fastidiosos molestando a todas las personas que van. Hay otras personas independientes que son super amables y a ellos si me da confianza acercarme pero a los ""Guías locales"" que lo hacen con chaleco azul no. Vi cómo trataban mal a varios independientes que traían grupo y fue muy incómodo y frustrante, que lástima que tengan a estos personajes ofreciendo un tour justo en la parte más bonita de la ciudad. Pongo 2 estrellas no por el lugar, sino para que quiten a estas personas o por favor que no molesten a nadie, todos pueden trabajar de forma armónica.",hermoso lamentablemente cerrado maquetas piedras cabeza serpiente información descubrimientos sorprendente único malo personajes guías locales molestan personas quieren venderte servicio guía personal tomé parecen fastidiosos molestando personas personas independientes super amables confianza acercarme guías locales chaleco azul vi trataban independientes traían grupo incómodo frustrante lástima personajes ofreciendo tour justo bonita ciudad pongo estrellas quiten personas favor molesten forma armónica
6,"El costo de la entrada es de 80 pesos, gratis estudiantes mexicanos con credencial vigente, se permite tomar fotografías. Cuenta con museo de sitio y las piezas que se encuentran en el interior de las salas son impresionantes. Considero que es un museo referente en torno a el México prehispánico, el recorrido es un poco largo pero vale la pena visitarlo.",costo entrada pesos gratis estudiantes mexicanos credencial vigente permite tomar fotografías museo sitio piezas encuentran interior salas impresionantes considero museo referente torno méxico prehispánico recorrido vale pena visitarlo
7,"Un museo que alberga parte de los tesoros más importantes de México. La museografía y señalética son bastante buenos y actualizados. Pude visitar en esta ocasión la exposición ""Tenochtitlan y Tlatelolco a 500 años y su caída"". Antes habían animaciones con vídeo mapping en algunas piezas, asumo que la proyección podría dañar los colores originales de las piezas.
A pesar que no está abierta todavía el área arqueológica, se puede apreciar un poco desde la orilla.",museo alberga tesoros importantes méxico museografía señalética actualizados pude visitar ocasión exposición tenochtitlan tlatelolco años caída animaciones vídeo mapping piezas asumo proyección dañar colores originales piezas abierta área arqueológica apreciar orilla
8,"El Museo del Templo Mayor es un gran lugar para visitar si le gusta aprender sobre historia.  Hay muchas exhibiciones interesantes para explorar y puede pasar fácilmente más de 2 horas caminando.  Los artefactos que se muestran en el museo están muy bien mantenidos y son realmente intrigantes para explorar.

The Templo Mayor Museum is a great place to visit if you enjoy learning about history. There are many interesting exhibits to explore and you can easily spend 2+ hours walking around. The artifacts shown in the museum are very well maintained and really intriguing to explore.",museo templo visitar gusta aprender historia exhibiciones interesantes explorar pasar fácilmente caminando artefactos muestran museo mantenidos realmente intrigantes explorar the templo museum is great place to visit if you enjoy learning about history there are many interesting exhibits to explore and you can easily spend hours walking around the artifacts shown in the museum are very well maintained and really intriguing to explore
9,"Es un museo bastante interesante, cuenta la historia del sitio arqueológico, es gratis para estudiantes con credencial. Tiene un tiempo de recorrido de 2 horas.",museo interesante historia sitio arqueológico gratis estudiantes credencial recorrido
