,Comentario
0,Un lugar histórico que no te puedes perder al visitar Guanajuato. Por pandemia no había guía pero la entrada en domingo fue gratuita. Son muy as salas en dos pisos y se puede ver el majestuoso lugar con piezas únicas de la historia de la independencia.
1,"Excelente recinto para conocer un poco más de la historia del lugar. Existe una sala de línea del tiempo que deja ver la historia un poco más sencilla cronológicamente. Los murales que hay también son una verdadera joya contemplarlos. Si gustan de los recintos históricos este vale mucho la pena, si lo recorren solos y son asiduos a leer la infografía lleven un estimado de 2 a 3 horas. Cómo dato adicional en una sala están exhibidas fotos de la inundación de Guanajuato!, Fue el único lugar (físicamente) dónde vi tal material, son pocas pero deja ver uno de los escenarios más crudos de está ciudad tan hermosa"
2,"Es u lugar realmente bueno para conocer mucho más acerca de la historia de nuestro los y de nuestra independencia. Ofrece un museo en el que puedes entrar y aprender.
Se encuentra Justo en el corazón de Guanajuato y frente al mercado así que es muy accesible caminando. Cerca de aquí hay varios estacionamientos públicos para estacionar."
3,"Parte de la historia de nuestro México, un brevario cultural del incio de la Independencia, cómo fue hospedaje, como guardaba granos, fue cárcel.

Sus murales le dan una gran vida y existe una réplica de la campana de la independencia.

Al paso del tiempo se vuelve una parte de nuestra historia y la visita es obligada ✔✔

Como último dato, los domingos es entrada sin costo 👍"
4,"Un lugar muy histórico e importante a nivel nacional y que vale totalmente la pena conocer en Guanajuato. Es uno de los puntos principales que debes conocer y no puede faltar en tu visita a la ciudad.
Tiene unas excelentes exposiciones y explicaciones de historia.
Además de afuera es muy lindo, vale la pena tomar un recorrido y conocer lo mas importante de este lugar histórico.
Totalmente recomendable de mi parte."
5,"Un lugar para ver la historia de Guanajuato y conocer más para entender algunas cosas del estado, muy bonito y amplio, hay que llevar tiempo para visitarlo y no correr entre sus habitaciones, el costo de entrada es en promedio de 65 pesos por persona."
6,"Icónico lugar el estado de Guanajuato, soy originario y llevé a mis hijos a qué lo conocieran y conocieran un poco más de nuestras raíces, quedé muy complacido con la visita, tiene bastante información del Estado, del movimiento de independencia, de las culturas que se asentaron, etc. Muy completa las información, quizás solo me faltó un poco más de tiempo ya que es bastante información."
7,"Un lugar con mucha historia, muy limpio con buena iluminación. Me gustaría que fuera más interactivo, estamos en 2021 y necesitamos que los museos de actualicen para atraer niños y jóvenes con herramientas modernas y atractivas.

Muy interesante pero aburrido el recorrido. 😔"
8,"Formidable y magnífico, sus salas están llenas de historia, y el hecho de estar en el patio, te hace volar hacia el pasado."
9,"El lugar es muy interesante y tiene suficiente contenido para pasar 1 o 2 horas ahí. Sin embargo, creo que el precio es algo elevado para lo que realmente ofrece al espectador, el piso de arriba tiene muchas exhibiciones, pero el la planta baja tiene poco o casi nada de contenido."
10,"Uno de los museos con más impacto para la historia nacional, en el interior de este recinto se libró una de las primeras batallas insurgentes que derivaron en la independencia de México como nación independiente. Actualmente tanto arquitectónica, como museográficamente muy bello y completo, el Museo Regional de Guanajuato nos presenta colecciones dedicadas al pasado prehispánico, insurgente y a la cultura de este Estado."
11,"Maravillosa experiencia, excelente servicio. La arquitectura del edificio, la exposiciones de vestigios de cultura prehispánica, el retrato de la vida durante el virreinato y claro, todo lo que se refiere a la independencia de nuestra pueblo. Estar ahí da la sensación de palpar la historia."
12,"Un lugar imperdible de Guanajuato. Hermosos sitios para fotos y para aprender de la historia. Tip: lo mejor es ir en época de bajo turismo, así encuentras poca gente en casi todos los lugares."
13,"Sin duda la historia es tan fascinante que aprendes algo nuevo todos los días y que mejor, presenciar las infraestructuras de la historia de Mexico que es tan extensa."
14,"Emblemático lugar en la historia de México, recorrido por las diferentes etapas en la Guerra de Independencia, se exhiben objetos del siglo XIX pero ninguno perteneciente a los caudillos insurgentes, los guías explican ampliamente durante el recorrido, es nuestra obligación mantener en buen estado las instalaciones y las piezas que el museo exhibe, nos pertenece a todos los mexicanos u debemos preservarlo para que las futuras generaciones se sientan orgullosas de su pasado, por favor no olviden dar una generosa propina a los guías."
15,"Para disfrutarlo más, recomiendo que pidan un guía, dura como 30min la historia que te cuenta, el guia que me dio el recorrido fue muy accesible nos conto la historia de una manera muy viva, no recuerdo su nombre. Pero traía su propia honda y tenia muy buena voz"
16,"El Museo Regional de Guanajuato también es conocido como Alhóndiga de Granaditas,  Alondiga que viene del árabe y significa “almacén de granos,” y  “Granaditas” que  significa “granos” . Pero este edificio ha sido desde granero, penitenciaría, cárcel, escuela, juzgado y actualmente museo.
Aquí surge en 1810 la leyenda de Juan José de los Reyes Martínez, ""El Pípila"".
En si el museo  es un bello edificio con unos no menos bonitos murales, además de un  sinnúmero de objetos prehispánicos,  objetos sacros, uniformes y fotografias.
Solo abre de jueves a domingo y el costo es de 65 pesos, entras gratis si eres de tercera edad (con tu credencial).
El recorrido lo haces tú solo las salas llevan su orden cronológica, este edificio es parte de nuestra historia y  lo debes conocer."
17,"Lleno de historia y un lugar muy agradable, el recorrido se hace como en 1 hora y esta súper accesible $65 pesitos la entrada"
18,"Tomamos el tour para conocer todo Guanajuato y está súper, 100 recomendable para ir a Pueblear, u si van no olviden hacer la callejoneada"
19,Aquí inicio el movimiento independentista de México y Latinoamérica. Recomendable poder visitarlo. No hay mas que unos minutos ver la arquitectura y tratar de imaginar cómo lo dice la historia.
20,Muy buen lugar me tocó la exposición de pueblos y civilizaciones la cual está muy interesante.
21,"Un lugar con mucha historia
Hace falta mantenimiento en el piso del patio donde ya se está desmoronando la piedra.
Y hay áreas donde las paredes ya están con mucha humedad.
Creo que se debe de invertir para restaurar las instalaciones
El acceso creo que me costó 60 o 65 pesos"
22,"En este lugar hay restos de diferentes culturas mexicanas, murales muy bonitos y te explican el proceso de colonización que tuvo México.
La alhóndiga fue creada como un almacén provocado por el desabasto de cereal y granos."
23,Me gustó mucho pero en algunas historias se contradicen y la entrada Se me hizo muy cara
24,"Excelente, nadamas como comentario deberían tener una persona que te de información acerca del lugar."
25,"Imponente sitio histórico para visitar de día y de noche. Hay callejoneadas que dejan un gran sabor de boca. Anoche hubo una a las 9:15 PM y duró poco más de una hora con canto y estudiantina en todo el recorrido. Costó 120 pesos por persona más lo que te van vendiendo en el camino: bebidas, flores, recuerdos..."
26,Un lugar lleno de la historia de nuestro país. Lo recomiendo ampliamente. Los guías de cada sala son muy amables y saben mucho. Si tienen alguna pregunta no duden en preguntar.
27,"Muy impresionante ver la Alhóndiga por dónde pasaron nuestros héroes de la libertad y al mismo tiempo expusieron a los iniciadores, colgando sus cabezas. Recordando las historias de cada edificio 👍"
28,"El museo es hermoso, entrar te da una sorpresa increíble, la vista de la estructura neoclásica con cantera verde y rosa es increíble, además de los murales de las escaleras."
29,Pésima atención de la vendedora de boletos... El lugar es increíble lleno de historia
30,"Execelente lugar para visitar en la ciudad de Guanajuato. Está limpio, tiene accesos con rampas para discapacitados etc. Si lo visitas de es ir con mucho tiempo de sobra ya que  las filas para entrar son interminables y estás bastante tiempo a la intemperie. No olvides llevar tu credencial de estudiante para conseguir un descuento."
31,Es un lugar que todo mexicano debería conocer... simplemente es parada obligada al visitar Guanajuato... con documentos tan importantes como el Acta de Independencia u objetos como la bandera del Ejercito Trigarante...se henchina la piel en ese lugar... buen trabajo el del Gobierno de Guanajuato al preservar en excelente estado este tremendo patrimonio histórico
32,"Un lugar histórico bastante educativo, digerible para Niños! Sencillo pero hermoso este edificio tan emblemático, con su personal muy atento y amable, lo recomiendo ampliamente!!"
33,"Lugar historico que tienes que visitar, me da gusto que lo esten arreglando para tener una mejor conservacion."
