,Nombre,Temática,Adscripción,Página web,Entidad,Municipio,Puntaje,Cantidad de comentarios
0,Museo José Guadalupe Posada,Arte,Instituto Cultural de Aguascalientes (ICA),,Aguascalientes,Aguascalientes,4.7,1276
1,Museo de Sitio los Arquitos,Historia,Instituto Cultural de Aguascalientes/Centro Cultural Los Arquitos,https://www.aguascalientes.gob.mx/temas/cultura/,Aguascalientes,Aguascalientes,NaN,0
2,Museo de la Fauna ,Ciencia y tecnología,Secretaría del Medio Ambiente Estatal/CEAR Rodolfo Landeros Gallegos,http://www.aguascalientes.gob.mx/ssmaa/Areasverdes/cearRLG.html,Aguascalientes,Aguascalientes,NaN,0
3,Museo Ferrocarrilero,Historia,Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión,https://museosygalerias.com/conoce-mas/artist-1/,Aguascalientes,Aguascalientes,4.7,1589
4,Museo Regional de Historia de Aguascalientes,Historia,Secretaría de Cultura/INAH,http://www.inah.gob.mx/red-de-museos/235-museo-regional-de-historia-de-aguascalientes,Aguascalientes,Aguascalientes,4.5,890
5,Museo Escárcega,Arte,"Museo Escárcega, A.C.",https://museoeer.wixsite.com/muse/acerca-de-nosotros,Aguascalientes,Aguascalientes,4.6,245
6,Museo del Juguete Tradicional Mexicano,Arte,,,Aguascalientes,Aguascalientes,4.6,311
7,Museo de Arte Contemporáneo No. 8,Arte,Instituto Cultural de Aguascalientes (ICA),,Aguascalientes,Aguascalientes,4.5,300
8,Museo Espacio,Arte,Instituto Cultural de Aguascalientes (ICA),,Aguascalientes,Aguascalientes,4.6,1924
9,Museo Nacional de la Muerte,Arte,Universidad Autónoma de Aguascalientes,http://museonacionaldelamuerte.uaa.mx,Aguascalientes,Aguascalientes,4.5,3430
10,Descubre. Museo Interactivo de Ciencia y Tecnología,Ciencia y tecnología,Instituto para el Desarrollo de la Sociedad y el Conocimiento del Estado de Aguascalientes (IDSCEA),http://www.aguascalientes.gob.mx/descubre/,Aguascalientes,Aguascalientes,4.5,2536
11,Museo de Aguascalientes,Arte,Instituto Cultural de Aguascalientes (ICA),,Aguascalientes,Aguascalientes,NaN,0
