,Nombre,Temática,Adscripción,Página web,Entidad,Municipio
0,Museo José Guadalupe Posada,Arte,Instituto Cultural de Aguascalientes (ICA),,Aguascalientes,Aguascalientes
1,Museo de Sitio los Arquitos,Historia,Instituto Cultural de Aguascalientes/Centro Cultural Los Arquitos,https://www.aguascalientes.gob.mx/temas/cultura/,Aguascalientes,Aguascalientes
2,Museo de la Fauna ,Ciencia y tecnología,Secretaría del Medio Ambiente Estatal/CEAR Rodolfo Landeros Gallegos,http://www.aguascalientes.gob.mx/ssmaa/Areasverdes/cearRLG.html,Aguascalientes,Aguascalientes
3,Museo Ferrocarrilero,Historia,Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión,https://museosygalerias.com/conoce-mas/artist-1/,Aguascalientes,Aguascalientes
4,Museo Regional de Historia de Aguascalientes,Historia,Secretaría de Cultura/INAH,http://www.inah.gob.mx/red-de-museos/235-museo-regional-de-historia-de-aguascalientes,Aguascalientes,Aguascalientes
5,Museo Escárcega,Arte,"Museo Escárcega, A.C.",https://museoeer.wixsite.com/muse/acerca-de-nosotros,Aguascalientes,Aguascalientes
6,Museo del Juguete Tradicional Mexicano,Arte,,,Aguascalientes,Aguascalientes
7,Museo de Arte Contemporáneo No. 8,Arte,Instituto Cultural de Aguascalientes (ICA),,Aguascalientes,Aguascalientes
8,Museo Espacio,Arte,Instituto Cultural de Aguascalientes (ICA),,Aguascalientes,Aguascalientes
9,Museo Nacional de la Muerte,Arte,Universidad Autónoma de Aguascalientes,http://museonacionaldelamuerte.uaa.mx,Aguascalientes,Aguascalientes
10,Descubre. Museo Interactivo de Ciencia y Tecnología,Ciencia y tecnología,Instituto para el Desarrollo de la Sociedad y el Conocimiento del Estado de Aguascalientes (IDSCEA),http://www.aguascalientes.gob.mx/descubre/,Aguascalientes,Aguascalientes
11,Museo de Aguascalientes,Arte,Instituto Cultural de Aguascalientes (ICA),,Aguascalientes,Aguascalientes
12,Museo de Sitio del Teatro Morelos,,Instituto Cultural de Aguascalientes (ICA),,Aguascalientes,Aguascalientes
13,Museo Nacional de los Pueblos Mágicos,,Ayuntamiento de Calvillo/Secretaría de Turismo,,Aguascalientes,Calvillo
14,Museo Comunitario del Deporte e Historia,Especializado," Asociación Civil de Pabellonences, A.C.",,Aguascalientes,Pabellón de Arteaga
15,Museo de la Insurgencia,Historia,Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión,,Aguascalientes,Rincón de Romos
16,Museo de la Vid y el Vino,Especializado,"Patronato del Museo de la Vid y el Vino de Baja California, A.C.",,Baja California,Ensenada
17,Caracol Museo de Ciencias ,Ciencia y tecnología,"Caracol Centro Científico y Cultural, A.C.",http://www.caracol.org.mx/,Baja California,Ensenada
18,Museo de Historia de Ensenada,Arqueología,"Centro Social Cívico y Cultural Riviera, A.C.",http://museoens.com/,Baja California,Ensenada
19,"Museo Histórico Regional de Ensenada, Ex Cuartel de la Compañía Fija",Historia,Secretaría de Cultura/INAH,http://www.inah.gob.mx/red-de-museos/194-museo-historico-regional-ex-cuartel-de-la-compania-fija,Baja California,Ensenada
20,Museo Comunitario Ruso,Antropología,,,Baja California,Ensenada
21,Museo del Estero,Antropología,"Fundación Estero Beach, A.C.",,Baja California,Ensenada
22,Museo Katsuo,Ciencia y tecnología,Facultad de Ciencias Marinas de la Universidad Autónoma de Baja California,,Baja California,Ensenada
23,Museo de la Misión de Nuestra Señora de Guadalupe,Historia,Secretaría de Cultura/INAH,https://lugares.inah.gob.mx/es/museos-inah/museo/17794-museo-de-nuestra-se%C3%B1ora-de-guadalupe-del-norte.html,Baja California,Ensenada
24,"Museo Comunitario Altagracia A. de Arauz, San Vicente Ferrer",Antropología,Ayuntamiento de San Vicente,,Baja California,Ensenada
25,Museo Ku'ahl,,,https://piedepagina.mx/el-color-de-la-pobreza/yumanos/una-historia-inesperada-el-museo-ku-ahl.php,Baja California,Ensenada
26,Museo Comunitario El Rosario,Historia,,http://elrosariobc.blogspot.mx/2007/12/museo-comunitario-el-rosario.html,Baja California,Ensenada
27,Museo Sol del Niño,Ciencia y tecnología,"Patronato Museo Sol del Niño, A.C.",https://sol.org.mx/visitaMuseo,Baja California,Mexicali
28,Centro  de Investigaciones Culturales Museo,Antropología,Universidad Autónoma de Baja California,http://iic-museo.uabc.mx/,Baja California,Mexicali
29,Museo Regional Los Pioneros de Mexicali,Historia,Particular,,Baja California,Mexicali
30,Museo Comunitario El Asalto a las Tierras,Historia,Ayuntamiento de Mexicali,,Baja California,Mexicali
31,Museo Comunitario  Cucaphá Juan García Aldama ,Antropología,,,Baja California,Mexicali
32,Museo Comunitario Tecate,Historia,Ayuntamiento de Tecate/Centro Cultural Tecate (CECUTEC),https://www.carem.org/,Baja California,Tecate
33,Museo de Sitio Campo Alaska,Historia,Centro INAH de Baja California,,Baja California,Tecate
34,Museo de Sitio de la Zona Arqueológica El Vallecito,,Secretaría de Cultura/INAH,https://www.inah.gob.mx/zonas/58-zona-arqueologica-el-vallecito,Baja California,Tecate
35,Museo de las Californias,Historia,Secretaría de Cultura/Centro Cultural Tijuana (CECUT),http://www.cecut.gob.mx/micrositio/museo/museo.html,Baja California,Tijuana
36,Museo de la Lucha Libre Mexicana,Especializado,Museo de la Siete A.C.,https://www.mullme.com/,Baja California,Tijuana
37,Museo de Historia de Tijuana,Historia,Instituto Municipal de Arte y Cultura de Tijuana (IMAC),http://www.imac.tijuanagob.mx/museo.aspx,Baja California,Tijuana
38,Museo de Cera de Tijuana,Especializado,"Museo de Cera de Tijuana, S.A. de C.V.",https://museodeceratijuana.com/,Baja California,Tijuana
39,Museo Interactivo Tijuana El Trompo,Ciencia y tecnología,"Museo Interactivo Tijuana, A.C.",http://www.eltrompo.org,Baja California,Tijuana
40,Museo de sitio Wa-Kuatay,Historia,Secretaría de Cultura/INAH,,Baja California,Playas de Rosarito
41,Museo Comunitario de Mulegé,Arqueología,Delegación Municipal de Pueblo Mulegé/Comité Pro Museo Comunitario de Mulegé,,Baja California Sur,Mulegé
42,Museo de Historia de la Minería ,Ciencia y tecnología,Ayuntamiento de Mulegé,,Baja California Sur,Mulegé
43,Museo de las Pinturas Rupestres de San Ignacio,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/196-museo-de-las-pinturas-rupestres-de-san-ignacio,Baja California Sur,Mulegé
44,Museo de Arte de Baja California Sur,,Gobierno del Estado,https://www.muabcs.com/,Baja California Sur,La Paz
45,Museo Regional de Antropología e Historia de Baja California Sur,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/197-museo-regional-de-baja-california-sur,Baja California Sur,La Paz
46,Museo de Historia Regional de Todos Santos,Historia,Centro Cultural Profr. Néstor Agúndez Martínez/Ayuntamiento de La Paz,,Baja California Sur,La Paz
47,Centro Regional Interpretativo Ruta de Plata,,Secretaría de Turismo del Estado de Baja Califonria Sur,https://www.museorutadeplata.com/bienvenidos,Baja California Sur,La Paz
48,Museo de sitio de la Zona Arqueológica de Sierra San Francisco,,Secretaría de Cultura/INAH,https://www.inah.gob.mx/zonas/59-zona-arqueologica-de-la-sierra-de-san-francisco,Baja California Sur,La Paz
49,Museo de Historia Natural de Cabo San Lucas,Ciencia y tecnología,Ayuntamiento de Los Cabos,,Baja California Sur,Los Cabos
50,Museo de las Misiones Jesuitas en Baja California,Historia,Secretaría de Cultura/INAH,http://www.inah.gob.mx/red-de-museos/198-museo-de-las-misiones-de-baja-california,Baja California Sur,Loreto
51,Museo API a Pedro Infante,Historia,Gobierno del Estado de Campeche/Administración Portuaria Integral,http://educacionculturaydeporte.calkini.gob.mx/coordinaciones/turismo/isla-arena/,Campeche,Calkiní
52,Museo comunitario de Bécal,,,http://www.museodebecal.com,Campeche,Calkiní
53,Museo  El Palacio,Historia,Centro Cultural El Palacio/Secretaría de Cultura de Campeche,,Campeche,Campeche
54,Museo de Arqueología Subacuática Fuerte de San José El Alto,,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/6885-museo-de-arqueologia-subacuatica-fuerte-de-san-jose-el-alto,Campeche,Campeche
55,"Museo de la Ciudad, Baluarte de San Carlos",Historia,Ayuntamiento de Campeche,,Campeche,Campeche
56,Museo Baluarte de Santa Rosa,Arte,Ayuntamiento de Campeche/Dirección de Cultura/Coordinación de Patrimonio,,Campeche,Campeche
57,Casa de la Tecnología de Campeche DGETI SECUD,Ciencia y tecnología,"Secretaría de Educación, Cultura y Deporte de Campeche",,Campeche,Campeche
58,Museo Universitario de la Vida ,Ciencia y tecnología,Universidad Autónoma de Campeche,https://muvi.uacam.mx/,Campeche,Campeche
59,Museo de Arquitectura Maya Baluarte de Nuestra Señora de la Soledad,Arqueología,Secretaría de Cultura/INAH,https://www.inah.gob.mx/red-de-museos/199-museo-de-arquitectura-maya-baluarte-de-la-soledad,Campeche,Campeche
60,Museo de Arte Sacro (Capilla de Jesús de Nazareno),Arte,Catedral de Nuestra Señora de la Purísima Concepción,,Campeche,Campeche
61,Museo de Arqueología Maya. Fuerte de San Miguel,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/202-museo-arqueologico-de-campeche-fuerte-de-san-miguel,Campeche,Campeche
62,Museo de sitio de la Zona Arqueológica de Edzná,,Secretaría de Cultura/INAH,http://www.inah.gob.mx/zonas/65-zona-arqueologica-edzna,Campeche,Campeche
63,Museo del Archivo General del Estado de Campeche,,Secretaría de Gobierno de Campeche,http://agec.campeche.gob.mx/index.php/segob-campeche,Campeche,Campeche
64,Museo Victoriano Nieves Céspedes ,Arqueología,Ayuntamiento de Cd. del Carmen,https://inba.gob.mx/recinto/639,Campeche,Carmen
65,Guanal Museo Universitario de Ciencias y Artes,,Universidad Autónoma del Carmen/Secretaría de Cultura de Campeche,,Campeche,Carmen
66,Museo de Arqueología Maya del Camino Real de Hecelchakán MAH,Arqueología,Secretaría de Cultura/INAH,,Campeche,Hecelchakán
67,Museo de la Ciudad,,Ayuntamiento de Palizada,,Campeche,Palizada
68,Museo José Ángel Villarreal,Historia,Ayuntamiento de Acuña,,Coahuila de Zaragoza,Acuña
69,Museo Cultural de Arteaga,Historia,Ayuntamiento de Arteaga/Centro Cultural Coronel Lucio Dávila Rumayor,,Coahuila de Zaragoza,Arteaga
70,Museo de las Momias de San Antonio de las Alazanas,Antropología,Secretaría de Cultura de Coahuila,,Coahuila de Zaragoza,Arteaga
71,Museo Ejido San Juan de Boquillas,TND,,,Coahuila de Zaragoza,Cuatro Ciénegas
72,Museo Casa Venustiano Carranza,Historia,Secretaría de Cultura de Coahuila,,Coahuila de Zaragoza,Cuatro Ciénegas
73,Museo de la Casa de la Cultura de Cuatro Ciénegas,,"Casa de la Cultura Cuatro Ciénegas, A.C.",https://www.facebook.com/casadelacultura.cuatrocienegas,Coahuila de Zaragoza,Cuatro Ciénegas
74,Museo Comunitario Casa de la Cultura,Arqueología,Municipio de Francisco I. Madero,,Coahuila de Zaragoza,Francisco I. Madero
75,Museo Comunitario de la Casa de la Cultura de Francisco I. Madero,Arqueología,Ayuntamiento de Francisco I. Madero,,Coahuila de Zaragoza,Francisco I. Madero
76,Museo de Historia Atlahuaco,Historia,Particular,,Coahuila de Zaragoza,General Cepeda
77,Museo Paleontológico ,Ciencia y tecnología,Ayuntamiento de Rincón Colorado,,Coahuila de Zaragoza,General Cepeda
78,Museo Emilio Indio Fernández,Historia,Ayuntamiento de Juárez,,Coahuila de Zaragoza,Juárez
79,Museo Juarista,Historia,Secretaría de Educación Pública del Estado de Coahuila,,Coahuila de Zaragoza,Matamoros
80,Museo  Municipal  Gral. Jesús González Herrera,Arqueología,Ayuntamiento de Matamoros,,Coahuila de Zaragoza,Matamoros
81,Museo Biblioteca Harold R. Pape,Arte,"Campo San Antonio Fundación Pape, A.C.",http://www.bibliotecapape.org/,Coahuila de Zaragoza,Monclova
82,Museo Coahuila y Texas,Historia,Secretaría de Cultura de Coahuila/Ayuntamiento de Monclova,,Coahuila de Zaragoza,Monclova
83,Museo El Polvorín,Historia,Ayuntamiento de Monclova,,Coahuila de Zaragoza,Monclova
84,Museo Quinta Julio Galán Romo ,Arte,"Amigos de la Cultura de Múzquiz, A.C.",,Coahuila de Zaragoza,Múzquiz
85,Museo Histórico de Múzquiz,Historia,Ayuntamiento de Múzquiz,,Coahuila de Zaragoza,Múzquiz
86,Museo de Paleontología de Múzquiz,Ciencia y tecnología,,,Coahuila de Zaragoza,Múzquiz
87,Museo Cultural de Nadadores Dr. Américo de la Cruz,,Sistema Estatal de Museos de Coahuila                                                                      ,https://www.facebook.com/museoculturaldenadadores/,Coahuila de Zaragoza,Nadadores
88,Museo de Ocampo,Historia,Municipio de Ocampo,,Coahuila de Zaragoza,Ocampo
89,Museo del Centro Cultural Nancy Cárdenas,,Secretaría de Cultura del Estado de Coahuila,https://coahuila.gob.mx/#,Coahuila de Zaragoza,Parras
90,Museo del Vino. Casa Madero,Especializado,"Casa Madero, S.A. de C.V.",,Coahuila de Zaragoza,Parras
91,Museo de la Frontera Norte,Historia,Ayuntamiento de Piedras Negras,,Coahuila de Zaragoza,Piedras Negras
92,Museo del Niño El Chapulín,TND,Gobierno Municipal,,Coahuila de Zaragoza,Piedras Negras
