,Comentario
0,"Excelente lugar lleno de conocimiento y cultura con bases científicas, excelente para entender el desarrollo humano y en algunas salas específicamente tiempos más recientes. Todo es muy interesante vale la pena venir con familia. Fui en domingo y no cobran entrada( piden INE) solo a extranjeros es una exelente medida para no limitar el conocimiento."
1,"Extraordinario, sin duda se gana ser el museo más importante de México y Latinoamérica, instalaciones muy cuidadas, es imponente ver las piezas en estado casi perfecto, un lugar que para recorrerse con mucho tiempo, un recorrido rápido es de 2 horas, me hubiese gustado dedicarle 4 horas en total, hay tienda de souvenirs precios no muy elevados, sanitarios y restaurante por fuera de las salas, cuidan mucho que portes tu cubrebocas, para adquirir el boleto puedes pagar con tarjeta o efectivo, aconsejo no llevar mochila ya que te pedirán resguardarla en los lockers que ofrecen. Un lugar que todo mexicano debe pasar al menos una vez en su vida."
2,"Un museo lleno de historia, muy bello. Se exponen una gran cantidad de obras y artículos históricos que representan cada una de las etapas y culturas precolombinas y coloniales de México. Dentro de las consideraciones es que hay que madrugar por la gran cantidad de gente que forma para entrar, los estudiantes entran gratis, si es un sitio muy amplio por lo que anoten 1 o 2 días para su recorrido. No olviden llevar agua para hidratarse, sin embargo, cualquier alimento de otro tipo queda prohibido."
3,"El lugar indicado para conocer sobre nuestra cultura. Lo visite un viernes, no habían muchas personas, siendo posible recorrer el museo con tranquilidad."
4,"Necesitas de más de dos horas para recorrer las instalaciones. No te permiten entrar con mochila, alimentos y bebidas."
5,"Woow, el museo más importante de nuestro país. Todo mexicano debe recorrerlo. Las piezas mostradas forman parte fundamental de nuestra cultura como mexicanos."
6,"Buen museo, extensa colección que cubre gran parte de la Historia mexicana."
7,Se encuentra en CDMX Av la reforma. A mi modo de ver es un museo que es obligatoria su visita es una joya que muestra la historia y cultura de México. Es impactante. Para disfrutarlo se debe disponer de mínimo 6 horas. Tiene un buen restaurante.
8,"Las vistas que tienes desde la parte central hacía los rascacielos de reforma son una cosa maravillosa de ver. El museo por sí solo tiene tantísimo qué ver y tantísimo qué hacer que definitivamente no te bastaría un día para poder conocerlo completo. Pero sí para aprender muchísimo de toda la historia y cultura de México a lo largo de su existir. Me impresionó muchísimo oa cantidad de turismo internacional que había en este lugar lo cual sin duda alguna es una cosa muy bonita de ver. Este lugar tienen que añadirlo a su lista de cosas por hacer, es increíblemente grande y increíble en todo aspecto."
9,"Un museo que definitivamente debes visitar si vas a la ciudad de México, muy bonito, puedes conocer su cultura y sus orígenes, la historia y sus rituales. Me encantó ver la parte de los Mayas, pues es parte de nuestra historia. Afuera del museo puedes encontrar a los Aztecas y a los Voladores de Papantla haciendo su ritual. Algo muy bonito definitivamente, cómo conservan sus raíces."
10,Es un Museo lleno de historias.
11,"El museo es muy grande, tiene dos pisos y viene con mucha historia de México. Muy interesante para turistas y para los nacionales"
12,Visitamos este museo el 1 de enero y fue un placer recorrerlo.
13,"Es un gran museo que te regala un magnífico e interesante recorrido por todos los capítulos de nuestra historia nacional y de la humanidad a través de contenido organizado en diferentes temporadas, culturas, secciones, etc. Sin dejar de lado el excepcional legado academico brindado con la información en todas y cada una de sus notas."
14,"Actualmente la entrada se encuentra en un valor de $85, que súper valen la pena, deben ir con zapatos cómodos y mucho tiempo para poder leer, aprender y maravillarse por tanta maravilla, en él área del restaurante puedes comer e hidratarte, el agua cuesta $41 pesos (ciel pequeña normal) para que lo tomen en cuenta, es un lugar muy increíble me encanto"
15,"Impresionante colección de piedras esculpidas con mucho detalle. Recomiendo ir desde temprano para que puedas ver al menos casi todo el museo, ya que, es inmenso."
