,Comentario
0,"Un sitio muy hermoso en medio de la ciudad. Me encantó la organización de las salas del museo y la continuidad que le dan a la historia del antiguo imperio azteca, acomodadas de una gran variedad de piezas únicas. Me hubiera gustado que el establecimiento tuvieron algún servicio de guia e instrucción. Un punto a considerar para el visitante es que algunas salas tienen restringido el acceso. Y estudiantes tienen acceso gratis."
1,Una extraordinaria experiencia que permite echar un vistazo a la magestuosidad de la cultura mexica gracias al gran trabajo de los que participaron y aun participan en el proyecto del templo mayor. Han incluido presentaciones multimedia que muestran detalles  de las batallas entre mexicas y las fuerzas invasoras junto con sus aliados locales. Una visita que no puede faltar al turista nacional ni extranjero.
2,"Un museo realizado sobre las ruinas de lo qué desea qué recordemos. Nuestros orígenes.
Todos de una forma u otra tenemos legados innegables.
Conocer la historia nos permite no volverla a vivir y entender lo qué sucede a nuestro alrededor.
La tolerancia es la mayor escuela de paz. La intolerancia es una escuela de violencia.  Quizás algún día aprendamos."
3,"Excelente, si tienes credencial de estudiante porque entras gratis, y está muy grande en total son 8 salas de los objetos encontrados en el templo mayor.
La entrega cuesta a día de este comentario 80 pesos, niños menores de 12 años, adultos mayores de 60 años, y personas con discapacidad entran gratis."
4,"un tesoro en el corazon de la ciudad. De las mil razones para visitar la ciudad de Mexico, esta es una de las mas sorprendentes, normalmente acostumbramos ver zonas arqueologicas en lugares retirados, montes, bosques, selvas, sin embargo es impresionante que en el corazon de una ciudad tan grande y moderna, puedas ver los restos de una civilizacion tan antigua, conocer su historia y cultura, ver de primera mano las ruinas, entrar al museo y conocer mas de nuestros antepasados, por un precio sumamente accesible."
5,"Hermoso!!! Lamentablemente está cerrado y solo se pueden ver las maquetas desde lejos así como piedras y la cabeza de serpiente. Hay mucha información de los descubrimientos que han estado haciendo y me parece sorprendente.

Lo único malo son unos personajes ""Guías locales"" que molestan a las personas y quieren venderte su servicio de guía que en lo personal no lo tomé pero me parecen fastidiosos molestando a todas las personas que van. Hay otras personas independientes que son super amables y a ellos si me da confianza acercarme pero a los ""Guías locales"" que lo hacen con chaleco azul no. Vi cómo trataban mal a varios independientes que traían grupo y fue muy incómodo y frustrante, que lástima que tengan a estos personajes ofreciendo un tour justo en la parte más bonita de la ciudad. Pongo 2 estrellas no por el lugar, sino para que quiten a estas personas o por favor que no molesten a nadie, todos pueden trabajar de forma armónica."
6,"El costo de la entrada es de 80 pesos, gratis estudiantes mexicanos con credencial vigente, se permite tomar fotografías. Cuenta con museo de sitio y las piezas que se encuentran en el interior de las salas son impresionantes. Considero que es un museo referente en torno a el México prehispánico, el recorrido es un poco largo pero vale la pena visitarlo."
7,"Un museo que alberga parte de los tesoros más importantes de México. La museografía y señalética son bastante buenos y actualizados. Pude visitar en esta ocasión la exposición ""Tenochtitlan y Tlatelolco a 500 años y su caída"". Antes habían animaciones con vídeo mapping en algunas piezas, asumo que la proyección podría dañar los colores originales de las piezas.
A pesar que no está abierta todavía el área arqueológica, se puede apreciar un poco desde la orilla."
8,"El Museo del Templo Mayor es un gran lugar para visitar si le gusta aprender sobre historia.  Hay muchas exhibiciones interesantes para explorar y puede pasar fácilmente más de 2 horas caminando.  Los artefactos que se muestran en el museo están muy bien mantenidos y son realmente intrigantes para explorar.

The Templo Mayor Museum is a great place to visit if you enjoy learning about history. There are many interesting exhibits to explore and you can easily spend 2+ hours walking around. The artifacts shown in the museum are very well maintained and really intriguing to explore."
9,"Es un museo bastante interesante, cuenta la historia del sitio arqueológico, es gratis para estudiantes con credencial. Tiene un tiempo de recorrido de 2 horas."
10,"Excelente forma de enseñar a propios y extranjeros sobre las culturas que se desarrollaron al rededor del lago de texcoco y y tribus vecinas , vestigios , ofrendas , estatuas y monolitos muestran la vida y costumbre de los que habitaron esta tierra. Los domingos es gratis pero hay más gente, entre semana solo 60 pesos y los lunes cierran . Vale la pena visitarlos por qué es muy elegante e ilustrativo."
11,Un excelente lugar para conocer parte de la historia de nuestro país. Si duda!
12,"Muy buen organizado y explicados de  los acontecimientos históricos, además de muy buena preservación de las piezas exhibidas."
13,"Muy bonito lugar, es un poco cansado pues hay que caminar. Pero está bien para un día de visita
Aprendes muchas cosas"
14,"Excelente lugar para pasar una mañana. Me gusto mucho. Lugar histórico, visita imperdible en CDMX"
15,"Definitivamente es un lugar obligado para visitar en el centro de la CDMX. La organización de la exposición es simplemente espectacular, bien documentada y centrada en el desarrollo histórico de la civilización Mexica."
16,"Hacia mucho que no lo visitaba, y me encantó la modificación en la visita: es mas fácil recorrerlo y disfrutar todo el museo"
17,"Muy bonito, lo único es que no tiene guía,pero hermoso, limpio, ordenado"
18,Buen lugar para conocer nuestra historia y de donde venimos los mexicanos.
19,Muy recomendable pero hay que terner tiempo y paciencia para esperar entrar al museo
20,"Lugar impresionante, 3 pisos más,  mucho que recorrer, lleven tenis cómodos"
21,"Muy buen lugar para visitar, el museo está estupendo"
22,No sé arrepentirán de visitarlo el costo es de 85 pesos pero si eres estudiante entras gratis y si tienes tarjeta de inapam también entran gratis
23,"Sin duda la Ciudad de México es maravillosa, la historia es y será parte fundamental de la visita obligada a los museos de la CDMX."
24,"Mucho que ver y conocer dentro del centro de la ciudad. El museo es gratis si eres estudiante, profesor o persona de la tercera edad."
25,Excelente museo/sitio arqueológico para poder conocer un poco mas del pasado de México Tenochtitlan
26,"Visualmente muy agradable, tiene varias salas, muestra la historia de Tenochtitlan, su edificacion, el estilo de vida de los habitantes y sobre todo los dioses en los que se creía en ese entonces. Hay salas dedicadas exclusivamente a Tláloc y Huitzilopochtil."
27,Lugar que se debe conocer si te gusta la cultura Mexica y la historia.
28,"Hermoso museo, los objetos que se encuentra en exposición son increíbles al igual que las explicaciones de cada unos de ellos espero con ansias poder volver"
29,"Un sitio para ver la historia prehispánica, la colonial y si miras un poco más arriba, se ven los edificios modernos."
30,"Un área está en remodelación.
Los domingos el acceso es gratuito.
Buena opción para el fin de semana!!!"
31,Interesante la cultura Mexica así como los hallazgos encontrados el el Zócalo
32,Es maravilloso en todo su esplendor se vale repetir en cada visita te sorprenderá
33,Todo bien organizado seguridad e higiene para los visitantes y el personal muy atento
34,"Excelente museo, bastantes láminas que explican cada uno de los elementos que se van observando. Sólo faltan más señalamientos para recorrer el museo en orden adecuado y no perderse.  Actualmente están restaurando una parte de la zona arqueológica, pero se puede observar desde una distancia. Para llegar en transporte es muy fácil.  Sólo llegas a la estación del metro Zócalo y a un lado de palacio está la entrada. Los domingos la entrada es gratis presentando tu INE."
35,"Haber pasado por esa zona antes y ahora ver todo lo que había bajo tus pies lo hace aún más increíble, el lugar de fácil acceso y con muy buena infraestructura"
36,"La exposición temporal es interesante.
La nueva entrada al museo es bonita pero no estaba todo el paseo abierto cuando visitamos.
Hay algunas salas del museo cerradas y algunas secciones se ven descuidadas.
El personal del museo es amable en su mayoría, están atentos a los cuidados durante la pandemia, sana distancia, uso de cubrebocas en los visitanted y aforo."
37,"Es impresionante ver este tipo de lugares, si están en el centro de CDMX no duden en visitarlo!"
38,El museo cuenta con una colección tremenda de piezas antiguas encontradas hace muy poco. Aún la zona se está explorando. Preferiblemente ir con un guía te ayudará mucho a entender por completo lo que estás viendo. Las ruinas son grandes pero es mejor que te explique con detalle los vestigios del Templo Mayor.
39,"Exelente exelente muy impresionante visita nuestra raíz está muy recomendable
Mexica Power....🇲🇽👊"
40,"Es entrada libre presentando tu INE, el recorrido si es largo así que ve preparado."
41,"Bonito restaurante, muy buena cocina, Buenos tequilas, hermosa vista al Zócalo, nos tocó desfile militar celebrando el 27 SEP 1891, entrada del ejército trigarante a la cd de México"
42,Excelente presentación de ídolos y objetos arqueologicos
43,Es uno de los Museos que vale la pena visitar para conocer de nuestro pasado.
44,"Ya han vuelto a reabrirlo al público. La verdad vale la pena visitarlo, tiene 8 salas y cada una cuenta una parte de la historia de los mexicas. Es complementario del Museo de Antropología Prehispánica."
45,"Uno de los museos más importantes y emblemáticos de la Ciudad de México, simplemente por albergar las ruinas principales de lo que fue la gran Tenochtitlan, es una pena que haya sufrido diversos daños, pero es grato ver qué se han encontrado más vestigios al rededor que son visibles al público en general; tiene que ser visita obligada al visitar la zona centro de ésta gran urbe."
46,Excelente museo!!! La atención y la seguridad super bien 👌👏👏👏
47,"No dejen de visitar , El Museos Plaza Mayor en México , donde se encontraron vestigios de los Azteca."
48,En algunos pisos no funcionaba el elevador. Pero la museografía excelente.
49,"Sí, tu pasión es la historia mexicana.¡ Sin duda será una visita obligada¡ Donde experimentarán el paso de los años con grandes exposiciones e información sumamente interesante. Te sentirás un gran Tlatoani al final del recorrido. ¡Viva México, viva su historia!"
50,"Bellísimo lugar, es un viaje a la historia prehispánica que a la vez tiene un contraste de la época colonial en sus alrededores, dos culturas distintas en un mismo lugar. Desgraciadamente la atención por parte de los encargados, pésima todos te tratan de mala gana y son groseros deberían de cambiar eso, es una lástima visitar un lugar tan bonito y llevarte malas experiencias por personas que no aprecian el tener un trabajo."
51,Ubicado junto al palacio nacional y a la catedral metropolitana de la ciudad de México sitio mágico para visitar y ver cómo era la ciudad de Tenochtitlan antes de la llegada de los españoles
52,"Es un lugar histórico imperdible si se visita CDMX. Recomiendo que antes de ir,  se lea un poco de la historia del templo. Es una lástima que no haya un recorrido guiado. Las salas tienen piezas arqueológicas de gran valor histórico."
53,Impresionante mi cultura y el que nos la muestren así es fascinante!!
54,Las ruinas son increíbles y las exposiciones dentro muy lindas y bien explicadas. Varias escaleras pero tiene lugares para descansar. Baño gratuito en el interior. No se permite entrar con ninguna bebida
55,Un lugar que no debes dejar pasar para conocer
56,Es un increíble lugar para contemplar los restos de la gran tenochtilan y nuestra cultura
57,"Un lugar mágico, y el museo de primer mundo"
58,me gusta el recorrido inicial antes de entrar al museo
59,"Es uno de los mejores museos de la Ciudad de México.
Es como ir descubriendo a través de cada una de sus salas un poco de la complejidad de la gran Tenochtitlán.

Conviene llegar antes de las 12 del día, porque es muy visitado y para verlo con calma conviene invertir al menos unas 3 horas."
60,"¡Una experiencia increíble!

Desde la entrada, la sensación de sumergirte en el contexto prehispánico hasta recorrer los basamentos acompañados por las citas textuales en los muros.

El personal es amable, atento y muy al pendiente del recorrido. Al entrar al museo, las indicaciones son específicas y la exposición temporal es muy interactiva.

El video explicando los enfrentamientos de resistencia Mexica y avances del ejército comandado por Hernan Cortés es muy atrayente. El zompantli al iniciar el recorrido por las ocho salas es impactante.

Las bancas de descanso al finalizar cada sala hacen tomarte descansos y disfrutar del museo.

Al finalizar, fuera del museo hay un recorrido extra, el cual, deberían de anunciar mejor a la salida de la zona arqueológica y con enseñar el boleto de entrada a Tempoo Mayor es gratuita ""Las ventanas arqueológica""."
61,"Solo puedo decir que es genial visitarlo por todo su contenido y sus instalaciones son excelentes, así es que lo recomiendo totalmente para que acudan a este gran museo. 👌😃"
62,"Increíble hayazgo. Necesario visitar, al igual que los museos para entender más la historia de nuestro país."
63,"Este museo tiene garantía de calidad y aprendizaje, el acervo es enorme y las visitas guiadas son muy interesantes. Sin embargo, tanto las vitrinas como las ventanas estaban sucias y empolvadas el día que fui. De cualquier manera, es una visita obligada para quien quiera conocer más de la cultura Azteca"
64,"Visita obligada si estás en el centro de la CDMX, está muy chingon, una forma muy didáctica de conectar con la cultura mexica y conocer nuestros orígenes y como se dió la conquista de México, vale mucho la pena, hay que invertirle al rededor de 2 hrs. Estudiantes, niños y adultos mayores con credencial entran grátis, a mí me tocó pagar $85, los domingos es gratis para todos los nacionales con identificación, y no te dejan entrar con líquidos ni comida."
65,Lugar perfecto para conocer más sobre la historia del imperio azteca
66,Como tal las reliquias que ahí muestran están preciosas; pero desde el personal de seguridad y en si el personal del museo pues mal... no se quizás les falta un poco de ética... Ó no lo se... hace falta que el director del museo visite el museo y vea con los ojos del visitante común su museo para que se percate de las fallas de su museo en fin.
67,"Muy buen lugar para recorrer , se pueden apreciar las ruinas y si deseas puedes entrar a visitar el museo en dónde hay muy buenas piezas. El día domingo la entrada es gratis para mexicanos.No olvides ponerte bloqueador solar o usar algún gorro ya que el recorrido del templo mayor se hace al exterior."
68,Ruinas y vestigios de nuestros antepasados a un costado de la catedral y el zócalo de México
69,"Excelente lugar, muy interesante. Muchas piezas y mucha historia. El único detalle es que, le hace falta un poco más de museografía y más iluminacion."
70,Un museo majestuoso y siempre recomendable para todo público.
71,"Todos los mexicanos debemos visistar este lugar sagrado, aquí esta parte de la historia de cada uno de nosotros. Un lugar que me deja muchas incognitas despues de ver una pequeña porción de como trabajaron nuestros antepasados, de su concepción de la vida, de su extraordinario conocimiento de la construcción relacionada con el cosmos.
Ojalá y todos valoráramos todo aquello relativo a nuestros antepasados y dejáramos de lado culturas de las que no debemos estar orgullosos, sobre valorarlas y mucho menos imitarlas.
Aquí hay grandeza, orgullo, dignidad, conocimiento y en muchos momentos sacrificios de toda índole. Admiración y gratitud por el legado de todos aquellos que me antecedieron."
72,"Sin duda se ha convertido en mi museo (público) favorito de la CDMX, piezas extraordinarias, pisos y pisos de las exposiciones y sobretodo Coyolxauhqui es impresionante, es una visita obligada si eres turista o residente de la CDMX, te darán cuenta de la riqueza de nuestra cultura, nada que envidiar del extranjero."
73,Muy interesante la exposicion y fascinante el recorrido por el templo. La recomendación es no llevar ningún tipo de alimentos ni bebidas  ni siquiera cerrados xk no los dejan entrar y tampoco hay donde guardarlos
74,"Muy interesante lugar que muestra de manera artística y muy didáctica el esplendor del pueblo azteca, así como los elementos de su entorno social y ambiental. Es una excelente muestra de nuestro origen. Gracias  a la amable atención del personal y los de vigilancia."
75,"Excelente lugar para conocer la cultura mexica y un museo con bastantes reliquias, solo que está limitada el área ya que aún continúan obras de construcción, lo demás sigue muy bien."
76,"Limpio, bonito, bien vigilado, condiciones higiénico sanitarias mínimas necesarias, recorrido de buena información mucho por aprender y recordar de la historia de nuestro país para visitar en pequeños grupos, entrada controlada."
77,"El museo está muy bien, la entrada es de 75 pesos pero niños menores de 12, adultos mayores, maestros y estudiantes no pagan. Los domingos la entrada es gratuita.
Me parece muy importante conocer nuestra cultura y todo lo que hay detrás de ella, sin duda el museo es una experiencia enriquecedora y bastante asombrosa, todo lo que hicieron nuestros antepasados simplemente sorprende. Recomiendo mucho ir en familia."
78,"Un lugar muy enigmático, rico en cultura y piezas que transportan a nuestro maravilloso pasado, en un recorrido único. Si hay que dedicarle un buen rato para alcanzar a disfrutar el interior y exterior. Muy limpio y a gusto el lugar aunque muy concurrido, por ser entrada libre en domingo. No recomiendo llevar muchas cosas de agua y comida porque hay que dejarlas en anaqueles en otro edificio."
79,"Si te gustan los museos y viajes al pasado, sin duda es muy buena opción, costo accesible, me encantó que menores de 13 años no pagan, RECOMENDABLE."
