,Comentario
0,"Maravilloso. Un museo que sorprende tanto por fuera como por dentro. Su arquitectura moderna y cada uno de los pisos que tiene con sus diferentes exposiciones, hacen que visitarlo sean una gran experiencia.

No tiene costo alguno visitar este lugar, muy recomendado para ir en familia y conocer de primera mano piezas de arte (originales y réplicas) de todo el mundo."
1,"ENTRADA GRATUITA.
La colección del museo es muy variada por lo que hace la visita aún más deleitable. Todo el Museo está adaptado para el uso de silla de ruedas.

El último y más alto piso está conformado por esculturas, que en su mayoría están al desnudo o en situaciones eróticas, si llevan niños se deja a consideración su entrada."
2,"Super recomendable para visitar cuenta con cinco niveles,cada uno con temáticas diferentes. Si te gusta el arte, la escultura o simplemente quieres tener una buena experiencia, este es un buen lugar, así que lleva zapatos cómodos ya que es un lugar bastante amplio para recorrer. Lo mejor es que la entrada es gratis y abren todo el año."
3,"Un museo gratuito donde hay exhibiciones de esculturas 🎭 , pinturas 🖼 , artículos históricos, de todo un poco. 5 pisos de diferentes obras. Cuenta con acceso para silla de ruedas 👩‍  
Les recomiendo subir hasta el último piso y de ahí ir descendiendo o bien ir varias veces, ya qué hay una exhibición tan amplia y completa que es cansado. Hay obras de artistas latinoamericanos, europeos de varias épocas diferentes. Además de que su estructura es moderna y muy linda."
4,"Eres arquitecto? este lugar lo visitaras algún día, y si eres un local o visitante debes pasar a visitarlo, como parte de los mejores museos de la CDMX, mucho de la colección y arte estuvo antes en Plaza Loreto, al sur de la Ciudad, pero ahora se pueden apreciar otras obras, ve con la actitud correcta para asimilar y apreciar, te darán a notar diferentes corrientes de arte, pero ante todo un gran conocimiento y apreciación del arte de diferentes épocas, deja que tus ojos se llenen de la maravilla y habilidades de diversos pintores, y créeme, la sala final te dará la cereza del pastel.  No te desconciertes si te encuentres con salas un poco mas reducidas, esto es por la forma del edificio, pero también puede que te engañe el tamaño del edificio, así que te recomiendo que te lleves tus tenis más cómodos y si vas a acompañado de personas de la tercera edad, procura hacerlas descansar y hacer uso del elevador, ya que van a tener mucho que ver. Es gratuita la entrada, podrás tomar fotos sin ningún problema con tu cámara profesional, pero por favor, cuida de que no tengas activado el flash para que no se dañe ninguna pieza. Que desfruten su visita."
5,"Pus está bien, nos recibieron con las medidas de sanidad adecuales, te revisan la mochila o bolsa y la tienes que dejar en paquetería, si vienen varias personas, con la misma ficha recoje  todo, bastante amables las personas del acceso.
En cuanto al museo, es muy largo el recorrido, eso por no decir aburrido, es la muestra de una colección, en sí no hay un tema en específico, lo que lo hace ser un poco aburrido de ver, sin embargo de vez en cuando encuentras obra interesante.
La subida puede ser por elevador o por unas rampas, la verda, muy incómodas y cansadas, si bien recuerdo son solo 5 plantas pero cuando llegas a la última ya estás muy cansado."
6,"Es un atractivo turístico que no pueden dejar pasar para tomarse un foto en los exteriores del museo, se encuentra muy cerca del centro comercial antara. La entrada al museo el gratuito, deben tener en cuenta que no permiten entrar con comida, palo de selfie, y si van con niños no pueden entrar con muñeco o juguetes ya que estos pueden lanzarlos a las obras expuestas en el museo. Fue mi caso que no me dejaron entrar con los juguete en las manos de mi hija de 3 años. Con respecto a la exposición que había no me llamo mucho la atención . Solo me encanto el exterior del museo"
7,"Es un increíble museo.

•El acceso general, es gratuito.
•debes de tomarte tu tiempo para visitarlo ( ir 2 veces ya que es muy extenso)
•cuenta con elevador y rampas
•sus obras van desde arte revolucionario hasta vanguardias del siglo XX
•cuenta con internet
•no se puede ingresar con alimentos, pero en el mismo museo hay un lugar donde puedes dejar tus cosas encargadas.

No te pierdas esta gran aventura; de ver tantas obras, que van desde nacionales hasta  internacionales, con pintores reconocidos, y vaya puedes acrecentar tu bagaje artístico."
8,"Un museo excepcional, con obras que no se ven en otros sitios, entrada gratuita. Hay que conocerlo. Recomiendo, para niños y adultos mayores, subir x el elevador al último piso e recorrerlo de ahí hacia abajo."
9,"A visitarlo ¡ya! Excelente curaduría. Las obras que exhibe son de una belleza impactante. Incluso el diseño arquitectónico del espacio tiene un encanto especial. Influenciado por los mejores museos del mundo, Soumaya es una joya. Se dieron el tiempo de incluir realidad virtual a las piezas destacadas para profundizar en su entendimiento, lo que nuevamente lo coloca dentro de las mejores propuestas que conozco."
10,"MUSEO SOUMAYA
El Museo Soumaya ubicado en Plaza Loreto fue el primero de la fundación Carlos Slim, con la finalidad de coleccionar, investigar y conservar testimonios artísticos de nuestro México y de Europa, después de algunos años, para ser exactos el 29 de marzo de 2011 abre sus puertas en una nueva e impresionante Plaza, conocida como “Plaza Carso”, todo un complejo de tiendas, restaurantes, museos, esculturas, tecnología, terrazas, definitivamente es para que le dediques todo un día, que vayas con zapato cómodo y te dispongas a disfrutar.

El Museo Soumaya fue desarrollado por el Arquitecto Fernando Romero, simplemente luce imponente y es considerado como uno de los más completos en su tipo, un acto muy bello de amor para su esposa Soumaya Domit Gemayel, a quién es dedicado, ya que falleció en 1999 y también un acto de amor para la Sociedad ya que es gratuito.

Me encanta que este tipo de proyectos tan importantes sean compartidos con la sociedad y además sin costo, acudir, conocer y apreciar el arte y la cultura a través de exposiciones internacionales, dándonos la oportunidad de empaparnos de la esencia de grandes artistas, conocer puntos de vista del arte a través de las obras y deleitar nuestros ojos.

Este gran lugar te espera con los brazos abiertos, apto para todo mundo, abierto de 10:30am a 6:30pm.

Después de hacer el recorrido por infinidad salas y subir y subir hasta llegar al último nivel empaparnos de todo el arte y la cultura de este sitio tan interesante y además de sentir un deyabu con el museo Guggenheim de Nueva York y tomar miles de fotos, nos dirigimos a otro de los museos que aquí se encuentran, el Museo Jumex.

Disfrutamos mucho de este lugar, así que los invito a escribir su propia historia, hasta la próxima y buen viaje."
11,"Maravilloso ⭐⭐⭐⭐⭐😍🇲🇽🌹💙🌎

*Es un lugar precioso
*Tiene una excelente zona turística
*Cuenta con servicios y negocios para todos los gustos a su rededor
*Es maravilloso para caminar, andar en bicicleta, patines o patineta
*Excelente para las personas amantes de la fotografía
*Perfecto para un paseo con nuestra mascota
*Es un museo muy lindo y frente a el se encuentra el ACUARIO INBURSA 💙✨"
12,Recomiendo visitar el museo desde el último piso al primero. Empezando por las salas de exposición de arte y cultura mexicana y bajando por las escaleras hasta los primeros pisos. El museo es grande y requiere tiempo para su visita. Es una pena que muchas de más esculturas y obras de arte no estaban ubicadas en orden específico.
13,"Es un lugar increíble, impone muchísimo el estar enfrente y rodeado al mismo tiempo de rascacielos. Increíble la cantidad de turismo extranjero que hay en este lugar únicamente para ver la arquitectura del museo. Sin duda alguna es un lugar precioso el cual definitivamente tienen que incluir en sus planes."
14,"Me encantó el museo, uno no se imagina que tan grande es hasta lo vas recorriendo y vas subiendo los pisos. Una colección muy variada y para todos los gustos. Recomiendo ir"
15,"Uno de los indispensables en la los lugares a visitar si vienes la Ciudad de México, no te va a decepcionar y las fotos para tu insta quedarán increíbles. Sugiero ir entre semana para evitar las aglomeraciones de gente y la fila de espera.
Es totalmente gratuito."
16,"Encantado de visitar este mágico museo! Es una maravilla, la estructura es fantástica definitivamente lo recomiendo para visitar en la ciudad de México, cumplen con todos los protocolos de bioseguridad en cuánto al Covid"
17,"Es un magnífico Museo ✨ Cuenta con diferentes secciones. Sin duda es un excelente lugar para visitar y apreciar del arte entro otros.
Es de los pocos museos que se encuentra abierto los días lunes ( aún que sea día festivo ) . Una experiencia inigualable .
Cuenta con todas las medidas de sanidad ante la actual pandemia. Ideal para visitar en familia, con amigos etc."
18,"Excepcional, la Entrada es *Gratuita* de afuera hacia adentro es una experiencia única. Les recomiendo que si son Fan de Rodin, vallan hasta el 5to piso aprecien su arte y luego vallan bajando piso tras piso a las otras salas. Este museo cuenta con la mayor colección de Rodin fuera de Francia. Elegido como el mejor de México y en el top 10 del mundo."
19,"Maravilloso lugar, siempre impecable de limpio.
Museo gratuito y con piezas únicas.
Cuenta con todas las medidas higiénicas para el ingreso y durante toda la estancia.
Horario dw cierre, las 18:30 hrs. Si llegas a las 18:00hrs no alcanzas a ver todas las salas."
20,"Es gratuito en el guardaropa hay unos libros muy lindos y son gratuitos les recomiendo que los tomen antes de empezar la exposición por que se acaban y ahí se explican muchas cosas,otra cosa no lleven 🎒muy abultadas si nos les gusta dejarlas en el guardaropa"
21,"Tuve la oportunidad de visitar el Museo Soumaya en la ciudad de México, en la zona de Polanco.
Aunque tuve poco tiempo para recorrer todos los pisos pude encontrar versiones del artista Rodin, Borghese, Renoir, etc..
La entrada al museo es de libre acceso (no tiene costo)."
22,"Excelente lugar para disfrutar de diversas obras de arte, el personal es muy amable y atento con los visitantes, puedes pasar horas y horas admirando todas las obras."
23,"Muy hermoso el museo, entrada gratis, vayan con calzado cómodo y con tiempo. La exposición es muy extensa."
24,"Excelente museo. Gratuito. Cierra a las 18:30 hrs

Aconsejo visitarlo subiendo por el elevador hasta la 5ta planta y después subir a la 6ta andando. Comenzar ahí y bajar.

Las más impresionantes son posiblemente la 6ta, 5ta y 2da a mi parecer. Pero todo el museo es buenísimo."
25,"Impresionante y variada colección de arte. No se paga entrada. Si quieres buenas fotos en su fachada vanguardista, recomiendo ir antes de 10 am cuando hay buena luz natural y poca gente."
26,"Wow, su arquitectura espectacular!

Cuenta con 6 salas de exposición y es un deleite ir ""subiendo"" a cada una de ellas.  Uno va caminando en espiral y se va topando con cada una de las salas.   Disfruté las exposiciones y la arquitecta del lugar."
27,"El mejor museo de México. Una excelente muestra del arte pictórico, las más selectas piezas de Rodin y otros grandes maestros de la escultura. Podría pasar horas y días admirando tantas obras de arte."
28,"Muy recomendable. Un recorrido por el tiempo, destacan obras pictóricas de grandes maestros poco conocidas y algunos objetos curiosos de la historia. También, señalaría los muebles de marquetería y el trabajo en marfil, objetos realmente esquisitos"
29,"Un museo con una colección impresionante del empresario Carlos Slim donde encontrarás piezas de arte americano y europeo con más de tres siglos. Vale mucho la pena visitarlo además la entrada es gratuita. El lugar es maravilloso y está impecablemente limpio, al igual que los sanitarios. La arquitectura es sorprendente, sin duda encaja perfecto con los edificios que lo rodean. Un bello museo que honra la memoria de su esposa Soumaya Domit."
30,"Hace poco tuve la oportunidad de conocerlo y me pregunto por qué no lo hice antes. Una visita obligada en cada visita a la ciudad. El personal se portó muy amable, y aunque había muchos visitantes, la entrada fue muy ágil, ordenada y con buenos protocolos sanitarios. Las obras exhibidas merecen muchos más elogios de los que caben aquí. Estoy gratamente sorprendido. Enhorabuena."
31,"Excelente lugar para visitar. 100% recomendado. Vayan con tiempo, recomiendo al menos 2 horas para poder ver todo."
32,"Hermoso museo donde realmente se aprecia el arte de una manera y un hambiente realmente bellísimo, cada centímetro de ese lugar y las obras son de otro nivel."
33,"Aún que e ido en varias ocasiones y dejé de ir por la pandemia , si se preocupan por cambiar sus exposiciones, me gustó la de aparatos antiguos como fonografos, cajas de musicas y teléfonos."
34,"Museo increíble, la gran cantidad de salas y de piezas que exhiben.
Un lugar que no debe perderse uno.
Si recorren todas las salas, el tiempo estimado es de 5 horas. Y creo que hubo algunas partes que no pudimos visitar."
35,"Es un museo muy completo, es gratuito, tiene cosas súper hermosas y entretenidas, necesitas todo el día si quieres verlo bien y disfrutar todo lo que tiene, súper recomendado, solamente me gustaría que sus obras tuvieran más descripción por qué está muy general por esa parte, me quedé con ganas de saber más en cuanto a los artefactos, por ejemplo de dónde vienen y así ."
36,"El museo es gratuito, te revisan la mochila y no permiten entrar con objetos grandes ni el selfie stick, si lo llevas necesitas dejarlo en paquetería, son 6 pisos de exhibición, vale la pena recorrerlo todo"
37,"Un lugar que vale la pena conocer por sus obras, ostentoso y majestuoso es lo que puedo decir para describirlo"
