,Comentario,Texto limpio
0,"Maravilloso. Un museo que sorprende tanto por fuera como por dentro. Su arquitectura moderna y cada uno de los pisos que tiene con sus diferentes exposiciones, hacen que visitarlo sean una gran experiencia.

No tiene costo alguno visitar este lugar, muy recomendado para ir en familia y conocer de primera mano piezas de arte (originales y réplicas) de todo el mundo.",maravilloso museo sorprende arquitectura moderna pisos exposiciones visitarlo experiencia costo visitar recomendado familia mano piezas arte originales réplicas mundo
1,"ENTRADA GRATUITA.
La colección del museo es muy variada por lo que hace la visita aún más deleitable. Todo el Museo está adaptado para el uso de silla de ruedas.

El último y más alto piso está conformado por esculturas, que en su mayoría están al desnudo o en situaciones eróticas, si llevan niños se deja a consideración su entrada.",entrada gratuita colección museo variada visita deleitable museo adaptado silla ruedas alto piso conformado esculturas mayoría desnudo situaciones eróticas llevan niños deja consideración entrada
2,"Super recomendable para visitar cuenta con cinco niveles,cada uno con temáticas diferentes. Si te gusta el arte, la escultura o simplemente quieres tener una buena experiencia, este es un buen lugar, así que lleva zapatos cómodos ya que es un lugar bastante amplio para recorrer. Lo mejor es que la entrada es gratis y abren todo el año.",super recomendable visitar nivelescada temáticas gusta arte escultura simplemente quieres experiencia zapatos cómodos amplio recorrer entrada gratis abren año
3,"Un museo gratuito donde hay exhibiciones de esculturas 🎭 , pinturas 🖼 , artículos históricos, de todo un poco. 5 pisos de diferentes obras. Cuenta con acceso para silla de ruedas 👩‍  
Les recomiendo subir hasta el último piso y de ahí ir descendiendo o bien ir varias veces, ya qué hay una exhibición tan amplia y completa que es cansado. Hay obras de artistas latinoamericanos, europeos de varias épocas diferentes. Además de que su estructura es moderna y muy linda.",museo gratuito exhibiciones esculturas  pinturas  artículos históricos pisos obras acceso silla ruedas  recomiendo subir piso descendiendo exhibición amplia completa cansado obras artistas latinoamericanos europeos épocas estructura moderna linda
4,"Eres arquitecto? este lugar lo visitaras algún día, y si eres un local o visitante debes pasar a visitarlo, como parte de los mejores museos de la CDMX, mucho de la colección y arte estuvo antes en Plaza Loreto, al sur de la Ciudad, pero ahora se pueden apreciar otras obras, ve con la actitud correcta para asimilar y apreciar, te darán a notar diferentes corrientes de arte, pero ante todo un gran conocimiento y apreciación del arte de diferentes épocas, deja que tus ojos se llenen de la maravilla y habilidades de diversos pintores, y créeme, la sala final te dará la cereza del pastel.  No te desconciertes si te encuentres con salas un poco mas reducidas, esto es por la forma del edificio, pero también puede que te engañe el tamaño del edificio, así que te recomiendo que te lleves tus tenis más cómodos y si vas a acompañado de personas de la tercera edad, procura hacerlas descansar y hacer uso del elevador, ya que van a tener mucho que ver. Es gratuita la entrada, podrás tomar fotos sin ningún problema con tu cámara profesional, pero por favor, cuida de que no tengas activado el flash para que no se dañe ninguna pieza. Que desfruten su visita.",arquitecto visitaras local visitante debes pasar visitarlo mejores museos cdmx colección arte plaza loreto sur ciudad apreciar obras ve actitud correcta asimilar apreciar darán notar corrientes arte conocimiento apreciación arte épocas deja ojos llenen maravilla habilidades diversos pintores créeme sala dará cereza pastel desconciertes encuentres salas reducidas forma edificio engañe tamaño edificio recomiendo lleves tenis cómodos vas acompañado personas edad procura hacerlas descansar elevador gratuita entrada podrás tomar fotos problema cámara profesional favor cuida activado flash dañe pieza desfruten visita
5,"Pus está bien, nos recibieron con las medidas de sanidad adecuales, te revisan la mochila o bolsa y la tienes que dejar en paquetería, si vienen varias personas, con la misma ficha recoje  todo, bastante amables las personas del acceso.
En cuanto al museo, es muy largo el recorrido, eso por no decir aburrido, es la muestra de una colección, en sí no hay un tema en específico, lo que lo hace ser un poco aburrido de ver, sin embargo de vez en cuando encuentras obra interesante.
La subida puede ser por elevador o por unas rampas, la verda, muy incómodas y cansadas, si bien recuerdo son solo 5 plantas pero cuando llegas a la última ya estás muy cansado.",pus recibieron medidas sanidad adecuales revisan mochila bolsa dejar paquetería vienen personas ficha recoje amables personas acceso museo recorrido aburrido muestra colección tema específico aburrido encuentras obra interesante subida elevador rampas verda incómodas cansadas recuerdo plantas llegas cansado
6,"Es un atractivo turístico que no pueden dejar pasar para tomarse un foto en los exteriores del museo, se encuentra muy cerca del centro comercial antara. La entrada al museo el gratuito, deben tener en cuenta que no permiten entrar con comida, palo de selfie, y si van con niños no pueden entrar con muñeco o juguetes ya que estos pueden lanzarlos a las obras expuestas en el museo. Fue mi caso que no me dejaron entrar con los juguete en las manos de mi hija de 3 años. Con respecto a la exposición que había no me llamo mucho la atención . Solo me encanto el exterior del museo",atractivo turístico dejar pasar tomarse foto exteriores museo centro comercial antara entrada museo gratuito permiten entrar comida palo selfie niños entrar muñeco juguetes lanzarlos obras expuestas museo caso dejaron entrar juguete manos hija años exposición llamo atención encanto exterior museo
7,"Es un increíble museo.

•El acceso general, es gratuito.
•debes de tomarte tu tiempo para visitarlo ( ir 2 veces ya que es muy extenso)
•cuenta con elevador y rampas
•sus obras van desde arte revolucionario hasta vanguardias del siglo XX
•cuenta con internet
•no se puede ingresar con alimentos, pero en el mismo museo hay un lugar donde puedes dejar tus cosas encargadas.

No te pierdas esta gran aventura; de ver tantas obras, que van desde nacionales hasta  internacionales, con pintores reconocidos, y vaya puedes acrecentar tu bagaje artístico.",increíble museo •el acceso gratuito •debes tomarte visitarlo extenso •cuenta elevador rampas •sus obras arte revolucionario vanguardias siglo xx •cuenta internet •no ingresar alimentos museo puedes dejar encargadas pierdas aventura tantas obras nacionales internacionales pintores reconocidos puedes acrecentar bagaje artístico
8,"Un museo excepcional, con obras que no se ven en otros sitios, entrada gratuita. Hay que conocerlo. Recomiendo, para niños y adultos mayores, subir x el elevador al último piso e recorrerlo de ahí hacia abajo.",museo excepcional obras ven sitios entrada gratuita conocerlo recomiendo niños adultos mayores subir x elevador piso recorrerlo abajo
9,"A visitarlo ¡ya! Excelente curaduría. Las obras que exhibe son de una belleza impactante. Incluso el diseño arquitectónico del espacio tiene un encanto especial. Influenciado por los mejores museos del mundo, Soumaya es una joya. Se dieron el tiempo de incluir realidad virtual a las piezas destacadas para profundizar en su entendimiento, lo que nuevamente lo coloca dentro de las mejores propuestas que conozco.",visitarlo excelente curaduría obras exhibe belleza impactante diseño arquitectónico espacio encanto especial influenciado mejores museos mundo soumaya joya incluir realidad virtual piezas destacadas profundizar entendimiento nuevamente coloca mejores propuestas conozco
