,Comentario
0,"Que decir;  impresionante museo necesitas el tiempo suficiente para recorrerlo todo pues es muy extenso. Cuenta con diversas exposiciones y salas;  La Química en Todo; Física; El Cerebro... Los Océanos; Tesoros fósiles.

La admisión general tiene un costo de $90 pesos y las exposiciones adicionales cuentan con costo de $15 pesos (Océanos) $30 pesos (Fósiles).

El costo del estacionamiento es de $15 pesos.

Tiene un área pequeña de juegos para los niños en la parte exterior.

Es un museo imperdible."
1,"Me sentí decepcionada y triste, mis espectatibas no eran muy altas pero tampoco tan bajas. Después de muchos años volví con mi pequeño para que se divirtiera y eso no fue lo que pasó, el lugar está muy abandonado y ya no es nada de didáctico, solo te encuentras con botones para que te pongan un vídeo viejito para darte la información que fácilmente encuentras en cualquier sitio de internet. El precio no concuerda con lo que ofrece ya que aparte de eso muchísimos botones de información no sirven y al decir muchos son realmente muchos. Sentí el lugar muy abandonado, viejo y nada didáctico.
Me apena y da tristeza 😢 pero fue lo que ví.
El costo fue de $90 por persona y mi pequeño de 3 años pago $80.
Hay baños en varios sitios y tiene estacionamiento.
😞"
2,"Increíble museo, siempre hay algo nuevo que aprender, ideal para chicos y grandes. Lo mejor es todos los jovenes voluntarios que te explican los contenidos de cada zona. 90 pesos la entrada adultos o niños, 80 si eres estudiante o adulto mayor. Lo unico no tan bueno es que las exposiciones temporales te las cobren aparte, si el costo de la entrada es alto y sumale eso, lo convierten uno de los museos mas caros de la cd."
3,"Increíble museo. Aunque debido a pandemia el horario es muy corto. Y ya todo es guiado. No puedes recorrerlo completo hay muchas salas que no meten en el recorrido y otras están cerradas. En lo personal me gustaría ver el planetario pero está cerrado, para que lo tengan en cuenta. Pero las exposiciones de fósiles prehistóricos y del océano están increíbles. Y por supuesto la exposición de la ciencia italiana y sus aportaciones es excepcional. Muy recomendable."
4,"Es un museo bastante amplio, bonito y con gran diversidad de temas y en particular de ciencia. Es un museo al que bien se puede llevar niños pequeños pues es bastante entretenido, por covid no está abierto aún el planetario y la zona de bebés. La entrada es de 80 pesos para estudiantes y maestros, menores de 2 años no pagan y en general cuesta 90 pesos la entrada, para las exhibiciones temporales pague unos pesos extra de 15 a 39 pesos. Hay estacionamientos aledaños y a buen precio. El trato de los becarios es muy bueno, dan explicación a quien la requiera y con los niños tienen toda la paciencia del mundo."
5,"Buen lugar para aprender de ciencia. Por pandemia tienen muchas cosas cerradas y el tiempo que dan hace que no se disfrute tanto. Aún así, vale la pena. Mi hijo tiene 6 años y en algunas áreas se intereso en otras no tanto. Tomar en cuenta que la visita dura 3 horas, así que ir con niños muy pequeños no debe ser muy buena idea."
6,"Nos atendieron muy bien, la cafetería viejita pero limpia, en general la pasamos bien, solo 4 estrellas por que en Internet no decía que la ludoteca estaba cerrada, y llevamos niños pequeños, aún así una señorita muy amable les hizo un recorrido divertido."
7,"No está mal el museo, pues posee una increíble cantidad de información muy muy valiosa e interesante acerca de todo lo que somos y lo que nos rodea, vale la pena venir muy bonito en organizado con tiempo y dispuesto a leer para salir de aquí muy enriquecido de conocimiento, considero que es apto para niños arriba de los 9 o 10 años, pues los más pequeños se aburren rápido o se cansan de leer, además de que hay partes ya deterioradas que son interactivas y que ya no pueden utilizarse, las 3 estrellas son por todo lo extenso e interesante que abarca este museo, les falta organización y atención de los chicos que apoyan a los visitantes, algunos no tienen buena actitud o no respetan los horarios para prácticas, hay lugares que merecen una buena explicación y nadie que te explique, pero pocos si son muy atentos, pero si visitenlo lo recomiendo"
8,Me encantó venir con mi pequeño Astronauta. Excelente Atención de todas las personas que guían la visita...
9,"Lamentablemente esta en malas condiciones la mayor parte del museo, estoy un poco decepcionada porque se se suponía que lo habían remodelado pero no se nota el cambio, le urge una buena inversión porque es uno de los museos más importantes de México, de hecho mucho de lo exhibido que es didáctico no funciona o funciona mal. Lo único que se puede apreciar bien son las exposiciones temporales pero esas tienen costo extra, el planetario es sumamente pequeño. Ojalá que la sección de astronomía pueda ser remodelada porque es mi favorita y es la que más necesita arreglo."
10,"Excelente para los niños y adultos también, me encantó la exposición de los dinosaurios y el océano."
11,"El Universum vale 5 estrellas, sin embargo le doy 3,la razón es porque la implementación de grupos de 10 personas con un anfitrión como medida de apertura en julio 21, no me parece tannn buena, la verdad se me hizo muy cansado el recorrido, en mi caso esperamos a las personas que querían pasar al. Baño por piso y fue eterno, los chicos anfitriones dan su mejor esfuerzo peroo alentan la. Visita al museo, les sugiero abrir más días para así tener mayor recuperación de taquilla, les sugiero tener control de acceso en las salas, amo el Universum pero por ahora la implementación de medidas no me pareció adecuada, ademas permanecer en grupo no me. Parece una medida idónea de sanidad para el panorama actual que vivimos. No estaban abiertas todas las salas y las que si, tenían varias pantallas apagadas. El jueves la. Entrada es 2x1, si pueden adquieran sus boletos en línea, es estacionamiento cuesta 15 pesos."
12,"Antes de la pandemia me encantaba ir por todas las actividades que podías hacer y salas por explorar, pero esta vez que fui, la visita guiada reduce mucho la experiencia, además que la tienda ya no está y no puedes comprar cosas como antes."
