,Comentario
0,"Espectacular. Es una actividad para niños y grandes, lleno de personajes representativos de la historia y la farándula del mundo que hasta parecen reales, una experiencia muy bien pensada. Con secciones temáticas que cuentan con: artistas, deportistas, líderes políticos, personajes de terror y cuentos infantes. En el mismo lugar puedes pagar por entrar a otras atracciones."
1,Super divertodo cada vez que vengo me divirto como niña te puedes tomar muchas fotos vez muchas cosas increíbles aparte que el recorrido esta super divertodo y misterioso lleno de muchas cosas .me faltaron muchas más fotos pero lo super recomiendo
2,"Un museo que vale mucho la pena, recomiendo por lo menos 2 horas para disfrutarlo. Está dividido por áreas: cine mexicano, arte internacional, celebridades de Hollywood, personajes de cuentos y de terror (mi parte favorita), entre otros. El recorrido es libre. Cuenta con un laberinto de espejos (incluido en el precio del boleto) y tienda de souvenirs donde puedes crear tu mano en cera. A lado del museo está otro enfocado a los récords Ripley's, que también está muy padre (si visitas los dos museos considera por lo menos de 3 a 4 horas). Se venden boletos por museo y uno que incluye ambos por un costo menor (mejor opción). Siguen protocolos de sanidad: uso de cubrebocas, gel antibacterial, tapete sanitizante y limite de afluencia. De acuerdo a mi experiencia no me sentí en riesgo de contagio en ningún momento. 100% recomendado."
3,Me encantó la experiencia son 3 museos y tienen una atracción de 4ta dimensión ..el boleto completo para un adulto a todos los museos y el subir a un auto de 4ta dimensión tiene  costo de 450 ..si solo vas al museo de cera 150 pesos adultos y 125 con tarjeta de estudiantes ..también puedes hacer tu mano en cera el costo es de
4,"Me encanto,tiene muchas celebridades, muy reales el sitio es muy divertido, y a un precio razonable fácil de llegar, puedes hacer tus manos de cera además allí cerca está el museo de Ripley"
5,Una visita divertida.
6,"Visita obligatoria en la Ciudad de México, vale mucho la pena , cuenta con varias salas temáticas , a buen precio $  150   pesos , al igual que te ofrecen otras opciones de $ 450 pesos , para tu visita al museo , lo disfrutas mucho , buena ubicación !!!"
7,"Este lugar lo puedes complementar con el museo de chocolate que está muy cerca en este lugar hay cafetería tiene varios alimentos americanos rápidos para comer. cuando estuve hice una fila de 30minutos para poder entrar al museo luego después hay de todo muy balanceado por historia deporte cine y arte así como de ciencia mi favorito fue el señor cantifla. Pero tiene otras áreas muy interesantes como el área de terror y para lo más niños. En fin la tienda de obsequios no tiene ninguno de Cantinflas memorable. Lo recomiendo. You can complement this place with the chocolate museum that is very close in this place there is a cafeteria that has several fast American foods to eat.  When I was there, I made a 30-minute line to enter the museum, then afterwards there is everything very balanced by history, sports, cinema and art as well as science, my favorite was Mr. Cantinflas.  But it has other very interesting areas such as the horror area and for the most children.  In short, the gift shop does not have any memorable quantity.  I recommend it."
8,"Vale la pena, es muy entretenido y el túnel puf te hace desvariar😅😅"
9,"Me encontré con que el museo se divide en 2 más un plus ... El de Cera, El de Ripley y como agregado juegos interactivos , ahí paquetes o los puedes visitar por separado , en mi caso ya había visto hace tiempo todo el museo pero me incline por el de cera ... Cargado de historia , casi está igual que hace 20 años !!!"
10,Es un lugar para ir en familia o en pareja dónde reírte un rato y recordar la historia y el entrenamiento desde la época de Pedro infante hasta la actualidad. Me la pasé muy bien y pude haceri mano con cera
11,"Excelente lugar, mi padre me llevó por primera vez cuando era pequeño, ahora he llevado a mis hijos un par de ocaciones y siempre ha sido genial la visita. Nunca igual siempre diferente."
12,"Muy padre, solo creo la sana distancia no se puede mantener pero nos la pasamos genial"
13,"Un lugar muy divertido en todos los aspectos, personajes de todo tipo (históricos/actuales). 100% recomendado para disfrutarlo con la familia, sobre todo para las personas que no somos de la capital, saludos desde Hermosillo, Sonora."
14,"Un lugar muy bonito, cuentan con todas las medidas sanitarias y hay gel en diversas secciones del museo para que se apliquen constantemente."
