,casa_artesania_id,casa_artesania_nombre,casa_artesania_fecha_fundacion,casa_artesania_adscripcion,casa_artesania_calle_numero,casa_artesania_colonia,casa_artesania_cp,casa_artesania_telefono1,pagina_web,email,gmaps_latitud,gmaps_longitud,estado_id,municipio_id,localidad_id,nom_ent,nom_mun,nom_loc,link_sic,fecha_mod
0,34,Casa de Artesanías del Centro de Artes y Oficios,1979-07-15,Instituto Cultural de Aguascalientes (ICA),Héroe de Nacozari 601 Nte. esq. Ventura Salazar,Barrio de la Estación,20254,(449) 916 80 92,http://www.aguascalientes.gob.mx,artesyoficios1979@hotmail.com,21.88286,-102.28177,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=34,2020-03-12T08:16:43-06:00
1,222,Casa de las Artesanías Aguascalientes,2014-04-24,Casa de las Artesanías Aguascalientes,Manuel M. Ponce 134,Barrio de San Marcos,20070,(449) 918 32 51,https://www.facebook.com/artesaniasags/timeline,casadelasartesaniasaguascalientesnex@gmail.com; luisa_muller69@hotmail.com,0.0,0.0,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=222,2018-06-21T02:36:42-05:00
2,250,Casa del Artesano,2015-08-21,"Asociación de Artesanos y Manualidades de Aguascalientes, A.C.",Nieto 210,Centro,20000,(449) 916 64 56,,enzoluraschi@yahoo.com,0.0,0.0,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=250,2018-06-20T04:27:02-05:00
3,85,Casa del Artesano Sudcaliforniano,2003-03-08,"Asociación de Artesanos Sudcalifornianos, A.C.",Av. Álvaro Obregón s/n entre Nicolás Bravo y Rosales,Centro,23000,(612) 128 87 07,http://casadelartesanosudcaliforniano.blogspot.mx/,casartsbcs@gmail.com,0.0,0.0,3,3,1,Baja California Sur,La Paz,La Paz,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=85,2015-02-17T11:33:23-06:00
4,117,Bazar Artesanal,2005-08-03,Gobierno del Estado de Campeche,Av. Pedro Saenz de Baranda s/n local L-201-223,Centro,24000,(981) 127 10 36,,,0.0,0.0,4,2,1,Campeche,Campeche,San Francisco de Campeche,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=117,2009-07-02T14:14:57-05:00
5,29,Casa de Artesanías Tukulná,1993-11-01,Gobierno del Estado de Campeche,Calle 10 núm. 333 entre 59 y 61,Centro,24000,981 193 7185 ,http://www.tukulna.com.mx/,tukulna@inefaac.gob.mx,19.8448,-90.53854,4,2,1,Campeche,Campeche,San Francisco de Campeche,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=29,2022-06-27T07:24:44-05:00
6,216,Casa del Artesano de Coahuila,1000-01-01,Secretaría de Turismo de Coahuila,Av. Miguel Hidalgo s/n,Centro,25000,(844) 481 99 44,http://www.sedeturcoahuila.gob.mx/inicio/?p=4224,brenda.vega@coahuila.gob.mx,0.0,0.0,5,30,1,Coahuila de Zaragoza,Saltillo,Saltillo,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=216,2015-02-11T14:46:25-06:00
7,218,Tienda de Artesanías Huentli,1000-01-01,Secretaría de Fomento Económico,Andador Constitución esq. Zaragoza ,Centro,28000,(312) 314 12 95,www.sefome.net/tienda/index.php,pgonzalezh@col.gob.mx,0.0,0.0,6,2,1,Colima,Colima,Colima,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=218,2015-02-12T12:00:59-06:00
8,54,Tienda de Artesanías del DIF,1987-10-25,DIF,And. Constitución s/n esq. Zaragoza,Centro,28000,312 314 47 90,,,0.0,0.0,6,2,1,Colima,Colima,Colima,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=54,2021-08-06T09:08:49-05:00
9,224,Tienda Casa Chiapas Aeropuerto,2014-06-04,"Gobierno del Estado, Instituto Casa Chiapas",Aeropuerto Internacional Ángel Albino Corzo local 3 PA,Ejido Francisco Sarabia,29000,(961) 153 61 95,http://casachiapas.gob.mx/funcionarios1,aeropuertotuxt@gmail.com,0.0,0.0,7,27,1,Chiapas,Chiapa de Corzo,Chiapa de Corzo,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=224,2015-02-27T09:22:01-06:00
