,fonoteca_id,fonoteca_nombre,fonoteca_fecha_fundacion,fonoteca_adscripcion,fonoteca_calle_numero,fonoteca_colonia,fonoteca_cp,fonoteca_telefono1,pagina_web,email,gmaps_latitud,gmaps_longitud,estado_id,municipio_id,localidad_id,nom_ent,nom_mun,nom_loc,link_sic,fecha_mod
0,36,Fonoteca El Colegio de la Frontera Norte ,2013-01-01,"El Colegio de la Frontera Norte, A.C.    ",Carr. Escénica Tijuana-Ensenada Km 18.5,Col. San Antonio del Mar,22560,(​664) 631 63 00 ext. 4020,https://soundcloud.com/fonotecaelcolef,fonoteca@colef.mx,32.45679,-117.11115,2,4,606,Baja California,Tijuana,San Antonio del Mar,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=36,2018-08-29T05:57:33-05:00
1,10,Dirección General de Culturas Populares e Indígenas,1971-01-01,CONACULTA/Dirección General de Culturas Populares,Centro de Información y Documentación Alberto Beltrán (CID)<br> Av. Hidalgo 289 (entrada por el Museo Nacional de Culturas Populares),Col. del Carmen,04100,(55) 4155 0931,http://www.culturaspopulareseindigenas.gob.mx/index.php/cid/104-acervos-fonoteca-.html,lauraruizm@conaculta.gob.mx,19.34967,-99.16063,9,3,1,Ciudad de México,Coyoacán,Coyoacán,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=10,2010-11-24T16:50:12-06:00
2,14,Fonoteca del Cine Nacional Manuel Esperón,1995-01-01,Secretaría de Cultura/Estudios Churubusco Azteca,"Atletas 21, int. Sala de Música Silvestre Revueltas",Col. Country Club ,14220,(55) 5549 3060 ext. 4709,http://www.estudioschurubusco.com,barochi@estudioschurubusco.com; tlacamata@estudioschurubusco.com,19.3548,-99.14228,9,3,1,Ciudad de México,Coyoacán,Coyoacán,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=14,2018-07-16T06:05:06-05:00
3,4,Sala de Fonoteca,1980-01-01,"Universidad Nacional Autónoma de México/Instituto de Investigaciones Bibliográficas, Biblioteca Nacional de México","Centro Cultural Universitario, Zona Cultura",Ciudad Universitaria,04510,(55) 5622 6999 ext. 48722,http://bnm.unam.mx/index.php/biblioteca-nacional-de-mexico/colecciones/fondo-contemporaneo/sala-fonoteca,sonias@unam.mx,19.31655,-99.1851,9,3,1,Ciudad de México,Coyoacán,Coyoacán,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=4,2018-08-03T08:13:54-05:00
4,13,Fonoteca de la Biblioteca Cuicamatini,1000-01-01,UNAM/Facultad de Música,Xicoténcatl 126,Col. Del Carmen,04100,(55) 56 04 34 65 ext. 119,http://www.fam.unam.mx/servicios/biblioteca.php,cuicamatini@gmail.com,19.35462,-99.15393,9,3,1,Ciudad de México,Coyoacán,Coyoacán,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=13,2018-08-14T07:39:09-05:00
5,32,Fonoteca Nacional,2008-12-10,Secretaría de Cultura,Francisco Sosa 383,Barrio de Santa Catarina,04010,(55) 4155 0950,http://www.fonotecanacional.gob.mx/,informesfonoteca@cultura.gob.mx,19.34974,-99.17709,9,3,1,Ciudad de México,Coyoacán,Coyoacán,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=32,2018-08-07T08:08:20-05:00
6,6,Fonoteca del Centro Nacional de las Artes,1000-01-01,Secretaría de Cultura/CENART,Av. Río Churubusco 79,Col. Country Club ,14220,(55) 4155 0000 ext. 1225,http://www.cenart.gob.mx/vida-academica/biblioteca-de-las-artes/,fonoteca@cultura.gob.mx,19.35645,-99.14225,9,3,1,Ciudad de México,Coyoacán,Coyoacán,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=6,2018-07-13T04:21:58-05:00
7,5,"Centro Nacional de Investigación, Documentación e Información Musical Carlos Chávez",1974-07-01,Secretaría de Cultura/INBA/Cenidim,"Centro Nacional de las Artes, 7º piso de la Torre de investigación, Río Churubusco 79 ",Col. Country Club ,04220,(55) 4155 0515 ,http://www.cenidim.bellasartes.gob.mx,cd.cenidim@cultura.gob.mx,19.35569,-99.14148,9,3,1,Ciudad de México,Coyoacán,Coyoacán,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=5,2018-09-13T07:03:40-05:00
8,8,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,1000-01-01,CNDI,Av. Revolución 1279,Col. Tlacopac,01010,(55) 9183 2100 ext. 8103,http://bnm.unam.mx/index.php/biblioteca-nacional-de-mexico/colecciones/fondo-contemporaneo/sala-fonoteca,avalderrama@edi.gob.mx,19.36028,-99.18964,9,10,1,Ciudad de México,Álvaro Obregón,Álvaro Obregón,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=8,2018-07-18T06:34:08-05:00
9,12,Fonoteca de la Escuela Nacional de Antropología e Historia,1000-01-01,Secretaría de Cultura/INAH,Periférico Sur y Zapote s/n,Col. Isidro Fabela,14030,(55) 5606 3464,http://www.enah.edu.mx/,direccion.enah@inah.gob.mx,19.30251,-99.17993,9,12,1,Ciudad de México,Tlalpan,Tlalpan,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=12,2018-10-02T07:30:13-05:00
