,fototeca_id,fototeca_nombre,fototeca_fecha_fundacion,fototeca_adscripcion,fototeca_calle_numero,fototeca_colonia,fototeca_cp,fototeca_telefono1,pagina_web,email,gmaps_latitud,gmaps_longitud,estado_id,municipio_id,localidad_id,nom_ent,nom_mun,nom_loc,link_sic,fecha_mod
0,98,Fototeca Universitaria UAA,1987-01-01,Universidad Autónoma de Aguascalientes,Av. Universidad 940,Ciudad Universitaria,20131,"(449) 910 74 00 exts. 20112, 20115",http://fototecauniversitaria.uaa.mx/,aurora.figueroa@edu.uaa.mx,21.91303,-102.31424,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=fototeca&table_id=98,2018-08-07T02:23:58-05:00
1,99,Fototeca del Instituto de Investigaciones Culturales-Museo,1000-01-01,Universidad Autónoma de Baja California,Calle L. y Av. Reforma,Col. Nueva,21100,(686) 552 57 15,,,0.0,0.0,2,2,1,Baja California,Mexicali,Mexicali,http://sic.gob.mx/ficha.php?table=fototeca&table_id=99,2018-07-17T05:49:28-05:00
2,133,Archivo Histórico del Estado de Baja California,1981-03-20,Gobierno del Estado,Av. Pedro F. Pérez y Ramírez 202,Centro,21100,(686) 552 5193,,cldiaz@baja.gob.mx,32.6632,-115.48262,2,2,1,Baja California,Mexicali,Mexicali,http://sic.gob.mx/ficha.php?table=fototeca&table_id=133,2018-09-03T09:36:01-05:00
3,114,Archivo Fotográfico de El Colegio de la Frontera Norte,1982-01-01,"El Colegio de la Frontera Norte, A.C.",Carr. Escénica Tijuana-Ensenada Km 18.5,Col. San Antonio del Mar,22560,(664) 631 63 00 ext. 1153,http://www.colef.mx/foto ,foto@colef.mx,32.45679,-117.11115,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=fototeca&table_id=114,2018-08-28T02:46:33-05:00
4,115,Fototeca del Archivo Histórico del Estado de Baja California Sur Pablo L. Martínez,1983-05-09,Instituto Sudcaliforniano de Cultura,"Navarro s/n, Unidad Cultural Profr. Jesús Castro",Centro,23060,(612) 125 02 94,,eliza_amendia@hotmail.com,24.14786,-110.31742,3,3,1,Baja California Sur,La Paz,La Paz,http://sic.gob.mx/ficha.php?table=fototeca&table_id=115,2018-07-24T04:52:32-05:00
5,11,Archivo Municipal de Campeche,1000-01-01,Ayuntamiento de Campeche,"Calle 67 entre 10 y 12, Circuito Baluartes Departamento 2 PB",Centro Histórico,24000,(981) 861 53 20,https://es-la.facebook.com/ArchvivoMunicipaldeCampeche/,cronista1@prodigy.net.mx,19.84102,-90.53796,4,2,1,Campeche,Campeche,San Francisco de Campeche,http://sic.gob.mx/ficha.php?table=fototeca&table_id=11,2018-07-13T05:18:48-05:00
6,100,Fototeca Francisco Cicero,2016-04-07,Archivo General del Estado de Campeche,Calle 12 núm. 159 entre 57 y 59,Centro,24000,(981) 816 09 39,http://agec.campeche.gob.mx,archivo.general@campeche.gob.mx,19.82474,-90.55012,4,2,1,Campeche,Campeche,San Francisco de Campeche,http://sic.gob.mx/ficha.php?table=fototeca&table_id=100,2018-08-20T06:46:24-05:00
7,89,"Museo Biblioteca Pape, A.C.",1977-01-01,,Blvd. Harold R. Pape 505 Sur,,25750,(866) 6310404. ,http://www.conaculta.gob.mx/cimagen/catalogo/museos2.html,,26.91105,-101.4307,5,18,1,Coahuila de Zaragoza,Monclova,Monclova,http://sic.gob.mx/ficha.php?table=fototeca&table_id=89,2018-08-01T10:41:45-05:00
8,88,Fototeca del Archivo Municipal de Saltillo,1988-01-01,Gobierno Municipal de Saltillo,Juárez y Leona Vicario s/n,Centro,25000,(844) 414 43 70,http://www.archivomunicipaldesaltillo.gob.mx,informes@archivomunicipaldesaltillo.gob.mx ,25.41581,-100.98921,5,30,1,Coahuila de Zaragoza,Saltillo,Saltillo,http://sic.gob.mx/ficha.php?table=fototeca&table_id=88,2018-08-03T07:09:01-05:00
9,84,Archivo Fotográfico Gertrude Duby Blom de la Asociación Cultural Na Bolom,1000-01-01,,Av. Vicente Guerrero 33,Barrio del Cerrillo,29220,(967) 678 1418,https://www.nabolom.org/fototeca-chiapas,nabolom@sclc.ecosur.mx,16.74168,-92.62995,7,78,1,Chiapas,San Cristóbal de las Casas,San Cristóbal de las Casas,http://sic.gob.mx/ficha.php?table=fototeca&table_id=84,2018-06-11T14:17:42-05:00
