,galeria_id,galeria_nombre,galeria_fecha_fundacion,galeria_adscripcion,galeria_calle_numero,galeria_colonia,galeria_cp,galeria_telefono1,pagina_web,email,gmaps_latitud,gmaps_longitud,estado_id,municipio_id,localidad_id,nom_ent,nom_mun,nom_loc,link_sic,fecha_mod
0,349,Galería La Huerta,1994-11-12,Instituto Cultural de Aguascalientes (ICA)/Dirección de Educación Artística Básica,Alameda 206 esq. Héroe de Nacozari,Barrio La Purísima,20000,449 916 92 01,,c.culturallosarquitos@gmail.com,21.88288,-102.28218,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=349,2022-03-22T07:27:11-06:00
1,1449,Galería La Señal en el Muro,2004-01-01,CIELA Fraguas ,Ignacio Allende 238  ,Centro,20000,449  915 88 19,,cielafraguas.ica@gmail.com,21.88134,-102.29923,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=1449,2022-04-06T06:10:44-05:00
2,342,Galería de la Ciudad,1985-03-03,Casa de la Cultura Víctor Sandoval/Instituto Cultural de Aguascalientes,Venustiano Carranza 101,Centro,20000,449 915 16 91,,museosygalerias@yahoo.com.mx,21.88065,-102.29796,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=342,2022-03-22T06:13:47-06:00
3,340,Galería de Artes Gráficas El Obraje,2000-09-13,Instituto Cultural de Aguascalientes,Juan de Montoro 222,Centro,20000,449 994 00 74,https://eservicios2.aguascalientes.gob.mx/eventosPortal/evento/718/Actividades%20M%C3%BAltiples,museosygalerias@yahoo.com.mx,21.88126,-102.29334,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=340,2022-04-19T06:57:03-05:00
4,1795,Galería de la Universidad de las Artes,2002-01-01,Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión,"Av. Manuel Gómez Morín s/n, edif. 50",Col. Ferronales,20180,"449 910 26 45 ext. 6702, 6703",,licenciaturaica@yahoo.com,21.88925,-102.28088,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=1795,2022-03-22T06:25:04-06:00
5,1790,Galería Urbana,1000-01-01,Universidad Autónoma de Aguascalientes,Av. Universidad esq. Guadalupe González,Cd. Universitaria,20131,449  910 74 00,https://www.uaa.mx/portal/evento/galeria-urbana-la-fiesta-de-los-que-nunca-mueren/,,21.90955,-102.31137,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=1790,2022-04-06T06:11:19-05:00
6,1483,Galería Artica,2013-04-22,Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión/Centro de Artes Visuales,Venustiano Carranza 111,Centro,20000,449 915 16 91,,centrodeartesvisuales@yahoo.com.mx,21.88049,-102.29886,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=1483,2022-04-19T05:16:02-05:00
7,745,Galería Benjamín Manzo ,2007-03-15,Casa de la Cultura Víctor Sandoval/Instituto Cultural de Aguascalientes ,Venustiano Carranza  101,Centro ,20000,449  910 20 10 ,,,21.88065,-102.29798,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=745,2022-04-19T06:35:57-05:00
8,337,Galería Pons,1995-11-12,Instituto Cultural de Aguascalientes (ICA)/Dirección de Educación Artística Básica,Alameda 206 esq. Héroe de Nacozari,Barrio La Purísima,20259,449 916 92 01,,c.culturallosarquitos@gmail.com,21.88282,-102.28212,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=337,2022-03-22T07:38:54-06:00
9,1895,Galería Madama,2018-11-12,,Nieto 403,Centro,20000,449 392 23 09,https://madama.mx/,contacto@madama.mx,21.87919,-102.29994,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=1895,2022-03-22T07:31:12-06:00
10,356,Galería Francisco Díaz de León,1992-12-01,Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión,Rivero y Gutiérrez 110,Centro,20000,449) 916 98 09,,casajesusteran@gmail.com,21.88339,-102.29677,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=356,2022-04-06T06:09:34-05:00
11,341,Galería del Centro de Artes Visuales,1980-12-01,Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión,Venustiano Carranza 101,Centro,20000,449  916 14 56,,centrodeartesvisuales@yahoo.com.mx,21.88047,-102.29876,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=341,2022-04-06T06:10:10-05:00
12,346,Galería Rampa,1983-01-01,,Cristóbal Colón 116,Centro,20000,449 915 54 27,,,21.88014,-102.29522,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=346,2021-08-31T05:19:34-05:00
