,teatro_id,teatro_nombre,teatro_fecha_fundacion,teatro_adscripcion,teatro_calle_numero,teatro_colonia,teatro_cp,teatro_telefono1,pagina_web,email,gmaps_latitud,gmaps_longitud,estado_id,municipio_id,localidad_id,nom_ent,nom_mun,nom_loc,link_sic,fecha_mod
0,335,Foro La Puga,1994-11-01,Instituto Cultural de Aguascalientes (ICA)/Dirección de Educación Artística Básica,Alameda 206 esq. Héroe de Nacozari,Barrio de La Purísima,20000,449 916 92 01,,c.culturallosarquitos@gmail.com,21.88286,-102.28177,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=teatro&table_id=335,2020-10-01T15:52:43-05:00
1,329,Teatro Morelos,1885-10-25,Instituto Cultural de Aguascalientes,"Nieto 113, Plaza de la Convención",Centro,20000,449 916 61 28,https://www.travelbymexico.com/aguascalientes/atractivos/?nom=eagsteatromore,informacion.ica@gmail.com,21.88021,-102.29702,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=teatro&table_id=329,2022-02-16T16:34:08-06:00
2,330,Teatro Víctor Sandoval (antes Teatro del Parque),1988-10-01,Instituto Cultural de Aguascalientes,Av. Adolfo López Mateos s/n esq. Paseo de la Feria,Centro,20000,,http://www.aguascalientes.gob.mx/temas/cultura/espacios/teatros/victor.aspx,josereynosomtz@hotmail.com,21.8768,-102.30326,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=teatro&table_id=330,2021-10-28T07:28:30-05:00
3,336,Teatro de la Alameda ,1945-10-01,Gobierno del Estado de Aguascalientes,Av. de la Convención Ote. 102 esq. Alameda,Col. Del Trabajo,20180,449 910 25 25 ext. 5296,,alejandrina.rodriguez@aguascalientes.gob.mx,21.88444,-102.27296,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=teatro&table_id=336,2020-10-09T14:17:49-05:00
4,78,Teatro Francisco Gabilondo Soler Cri-Cri,1989-05-24,"Gobierno del Estado de Aguascalientes/Secretaría de Sustentabilidad, Medio Ambiente y Agua","Int. Centro de Recreación Ambiental, Cultura y Recreativo Rodolfo Landeros Gallegos, Blvd. José María Chávez s/n",Col. Ciudad Industrial,20290,(449) 978 51 06,,jorge.villa@aguascalientes.gob.mx; brenda.rodriguezm@aguascalientes.gob.mx,21.85357,-102.28886,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=teatro&table_id=78,2020-02-11T05:33:58-06:00
5,976,Foro Cultural MUSE,1000-01-01,,Ezequiel A. Chávez 307,,20000,449 115 60 16,https://museoeer.wixsite.com/muse/contacto,foromuseoescarcega@gmail.com; ricardo.gestioncultural@gmail.com,21.88466,-102.28568,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=teatro&table_id=976,2020-09-24T16:58:36-05:00
6,328,Teatro Aguascalientes,1991-10-03,Instituto Cultural de Aguascalientes,Av. De la Concepción esq. Sur y Blvd. José Ma. Chavez 1202,Col. Lindavista,20270,449 978 54 14,https://www.aguascalientes.gob.mx/,informacion.ica@gmail,21.85739,-102.29235,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=teatro&table_id=328,2020-10-09T14:35:33-05:00
7,830,Foro Cultural al Trote,1994-01-01,,Héroes de Chapultepec 217,Barrio del Encino,20000,449 806 27 91,http://www.altrote.com.mx/,contacto@altrote.com.mx,21.87843,-102.29385,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=teatro&table_id=830,2020-10-01T15:37:32-05:00
8,334,Teatro Antonio Leal y Romero,1986-01-01,Instituto Cultural de Aguascalientes,Venustiano Carranza 101,Centro,20000,449 916 61 28,https://www.aguascalientes.gob.mx/ica/tantonio.html,josereynosomtz@hotmail.com,21.88049,-102.29846,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=teatro&table_id=334,2020-10-09T14:25:25-05:00
9,541,Teatro de la Casa de Cultura de Asientos,1998-02-25,Instituto Cultural de Aguascalientes,Av. Miguel Hidalgo s/n,Col. Infonavit,20712,496 967 30 78,,informacion.ica@aguascalientes.gob.mx,22.23848,-102.08958,1,2,1,Aguascalientes,Asientos,Asientos,http://sic.gob.mx/ficha.php?table=teatro&table_id=541,2022-02-16T16:34:56-06:00
10,542,Teatro de la Casa de Cultura de Cosío,1993-03-01,Instituto Cultural de Aguascalientes,Madero Nte. 5,Centro,20460,458 987 09 59,http://www.aguascalientes.gob.mx/temas/cultura/Noticias/Convocatorias/didactica.aspx,informacion.ica@aguascalientes.gob.mx,22.36639,-102.29747,1,4,1,Aguascalientes,Cosío,Cosío,http://sic.gob.mx/ficha.php?table=teatro&table_id=542,2021-10-28T07:32:03-05:00
11,869,Teatro Bicentenario,1000-01-01,Ayuntamiento de Pabellón de Arteaga,Plutarco Elías Calles s/n,Centro,20670,465 958 19 76,,manuelalejandrosantana@municipio.gob.mx,22.14736,-102.27675,1,6,1,Aguascalientes,Pabellón de Arteaga,Pabellón de Arteaga,http://sic.gob.mx/ficha.php?table=teatro&table_id=869,2022-02-16T16:35:46-06:00
12,320,Teatro al Aire Libre Riviera,1998-04-24,Centro Cultural Riviera de Ensenada,Blvd. Lázaro Cárdenas y Av. Riviera s/n,Centro,22800,(646) 176 43 10,http://rivieradeensenada.com.mx/espacios/,director@rivieradeensenada.com.mx,31.85818,-116.61835,2,1,1,Baja California,Ensenada,Ensenada,http://sic.gob.mx/ficha.php?table=teatro&table_id=320,2018-05-09T16:09:19-05:00
13,874,Foro Experimental del CEART/Ensenada,2007-07-31,CEART/Instituto de Cultura de Baja California,Blvd. Lázaro Cárdenas y Av. Club Rotario,Centro,22880,(646) 173 43 07,,,31.85707,-116.61736,2,1,1,Baja California,Ensenada,Ensenada,http://sic.gob.mx/ficha.php?table=teatro&table_id=874,2016-12-14T14:53:35-06:00
14,307,Teatro Universitario y de los Periodistas Benito Juárez,1985-01-01,Universidad Autónoma de Baja California,"Km. 103 carr. Tijuana-Ensenada, Guadalupe entre 2a y 4a",Col. Obrera,22880,646 176 28 50,https://cultura.uabc.mx/campus-ensenada/,,31.86137,-116.61493,2,1,1,Baja California,Ensenada,Ensenada,http://sic.gob.mx/ficha.php?table=teatro&table_id=307,2022-03-16T11:14:08-06:00
