,zona_arqueologica_id,zona_arqueologica_nombre,zona_arqueologica_fecha_fundacion,zona_arqueologica_calle_numero,zona_arqueologica_colonia,zona_arqueologica_cp,zona_arqueologica_telefono1,pagina_web,email,gmaps_latitud,gmaps_longitud,estado_id,municipio_id,localidad_id,nom_ent,nom_mun,nom_loc,link_sic,fecha_mod
0,1,El Vallecito,1000-01-01,,,,686 552 35 91,http://www.inah.gob.mx/zonas/58-zona-arqueologica-el-vallecito,direccion.bc@inah.gob.mx,32.54066,-116.0969,2,3,0,Baja California,Tecate,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=1,2021-12-06T15:12:44-06:00
1,160,Cueva La Música,1000-01-01,Camino a San Francisco de la Sierra Km 36,,,612 12 2 73 89,http://www.inah.gob.mx/es/zonas/59-zona-arqueologica-de-la-sierra-de-san-francisco,sierrasanfrancisco@hotmail.com,27.61319,-113.03408,3,2,0,Baja California Sur,Mulegé,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=160,2022-05-25T07:39:32-05:00
2,158,Cueva La Pintada,1000-01-01,Camino a San Francisco de la Sierra Km 36,,,612 12 2 73 89,http://www.inah.gob.mx/es/zonas/59-zona-arqueologica-de-la-sierra-de-san-francisco,sierrasanfrancisco@hotmail.com,27.61319,-113.03408,3,2,0,Baja California Sur,Mulegé,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=158,2022-05-25T07:26:17-05:00
3,161,Cueva Las Flechas,1000-01-01,Camino a San Francisco de la Sierra Km 36,,,612 12 2 73 89,http://www.inah.gob.mx/es/zonas/59-zona-arqueologica-de-la-sierra-de-san-francisco,sierrasanfrancisco@hotmail.com,27.61319,-113.03408,3,2,0,Baja California Sur,Mulegé,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=161,2022-05-25T11:43:16-05:00
4,157,Cueva Cuesta Palmarito,1000-01-01,Camino a San Francisco de la Sierra Km 36,,,612 12 2 73 89,http://www.inah.gob.mx/es/zonas/59-zona-arqueologica-de-la-sierra-de-san-francisco,sierrasanfrancisco@hotmail.com,27.61319,-113.03408,3,2,0,Baja California Sur,Mulegé,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=157,2022-05-25T07:37:39-05:00
5,162,Cueva Boca San Julio,1000-01-01,Camino a San Francisco de la Sierra Km 36,,,612 12 2 73 89,http://www.inah.gob.mx/es/zonas/59-zona-arqueologica-de-la-sierra-de-san-francisco,sierrasanfrancisco@hotmail.com,27.61319,-113.03408,3,2,0,Baja California Sur,Mulegé,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=162,2022-05-25T11:40:44-05:00
6,172,Cueva La Soledad,1000-01-01,Camino a San Francisco de la Sierra Km 36,,,612 12 2 73 89,http://www.inah.gob.mx/es/zonas/59-zona-arqueologica-de-la-sierra-de-san-francisco,sierrasanfrancisco@hotmail.com,27.61319,-113.03408,3,2,0,Baja California Sur,Mulegé,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=172,2022-05-25T11:37:55-05:00
7,2,Cueva El Ratón,1000-01-01,Camino a San Francisco de la Sierra Km 36,,,612 12 2 73 89,http://www.inah.gob.mx/es/zonas/59-zona-arqueologica-de-la-sierra-de-san-francisco,sierrasanfrancisco@hotmail.com,27.59101,-113.02377,3,2,0,Baja California Sur,Mulegé,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=2,2022-05-25T11:34:32-05:00
8,9,Edzná,1000-01-01,"Carr. Federal Campeche-Edzná, KM. 55 (localizado en el entronque con el Km 45 de la Carr. Núm. 188)",,,"981 816 91 11, 981 816 81 79 ext. 138017",http://www.inah.gob.mx/zonas/65-zona-arqueologica-edzna,candelaria_duarte@inah.gob.mx; direccion.camp@inah.gob.mx,19.5974,-90.23051,4,2,0,Campeche,Campeche,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=9,2021-12-06T12:33:58-06:00
9,13,Xcalumkín,1000-01-01,,,,"981 816 91 11, 981 816 81 79 ext. 138017",http://www.inah.gob.mx/zonas/70-zona-arqueologica-de-xcalumkin,candelaria_duarte@inah.gob.mx; direccion.camp@inah.gob.mx,20.17037,-90.01031,4,5,0,Campeche,Hecelchakán,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=13,2021-12-06T14:46:11-06:00
