,Unnamed: 0,Nombre,Página Web,Email,Entidad,Municipio,Enlace SIC,Descripción
0,0,Casa de Artesanías del Centro de Artes y Oficios,http://www.aguascalientes.gob.mx,artesyoficios1979@hotmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=34,"Cursos de cerámica, vitrales, textiles, deshilados.
Venta de cerámica de alta y baja temperatura de diferentes materiales, venta de textiles y de vitral.
Horario de servicio al público:
Lunes a viernes de 8 a 18:30 h.
Sábado de 8 a 15 h."
1,1,Casa de las Artesanías Aguascalientes,https://www.facebook.com/artesaniasags/timeline,casadelasartesaniasaguascalientesnex@gmail.com; luisa_muller69@hotmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=222,Horario de sevicio: lunes a domingo de 11 a 23 hrs.
2,2,Casa del Artesano,,enzoluraschi@yahoo.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=250,
3,3,Casa del Artesano Sudcaliforniano,http://casadelartesanosudcaliforniano.blogspot.mx/,casartsbcs@gmail.com,Baja California Sur,La Paz,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=85,"Venta: artesanìas de maderas muertas de cactos, concha, perlas cultivadas, planta, concha de abulón y almeja, madera, piedra."
4,4,Bazar Artesanal,,,Campeche,Campeche,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=117,"Venta: Madera, fibra vegetal, barro, vidrio."
5,5,Casa de Artesanías Tukulná,http://www.tukulna.com.mx/,tukulna@inefaac.gob.mx,Campeche,Campeche,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=29,
6,6,Casa del Artesano de Coahuila,http://www.sedeturcoahuila.gob.mx/inicio/?p=4224,brenda.vega@coahuila.gob.mx,Coahuila de Zaragoza,Saltillo,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=216,
7,7,Tienda de Artesanías Huentli,www.sefome.net/tienda/index.php,pgonzalezh@col.gob.mx,Colima,Colima,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=218,
8,8,Tienda de Artesanías del DIF,,,Colima,Colima,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=54,"Venta: Barro (figuras), madera (muebles, máscaras cuadros de comala), vitrales, dulce (cocada, borrachitos, cocadas, alfajor, bebia alcohólica de frutas y de leche."
9,9,Tienda Casa Chiapas Aeropuerto,http://casachiapas.gob.mx/funcionarios1,aeropuertotuxt@gmail.com,Chiapas,Chiapa de Corzo,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=224,"Venta: Alfarería, ámbar, cestería, juguetería, laca, lapidería, metalistería, talla en madera, talabartería, textil."
10,10,Tienda Casa Chiapas Palenque,http://casachiapas.gob.mx/funcionarios1,tiendapalenque@gmail.com,Chiapas,Palenque,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=35,"Venta: Alfarería, ámbar, cestería, juguetería, laca, lapidería, metalistería, talla en madera, talabartería, textil."
11,11,Tienda Casa Chiapas San Cristóbal de las Casas,http://casachiapas.gob.mx/funcionarios1,tdasancristobal@gmail.com,Chiapas,San Cristóbal de las Casas,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=47,"Venta: Alfarería, ámbar, cestería, juguetería, laca, lapidería, metalistería, talla en madera, talabartería, textil."
12,12,Tienda Marca Chiapas<br>Sucursal Tapachula,http://www.artesanias.chiapas.gob.mx,aguilar.tapia@hotmail.com,Chiapas,Tapachula,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=118,"Venta: Alfarería, ámbar, cestería, juguetería, laca, lapidería, metalistería, talla en madera, talabartería, textil.

Alicia 08/05/13: la puse en privada por que dicen que cerraron esta sucursal, aproximadamente un mes.

Ya no está abierta esta tienda. Maru Anleu, 27 febrero 2015"
13,13,Tienda Casa de las Artesanías de Chiapas,http://casachiapas.gob.mx/funcionarios1,icasachiapas@gmail.com; tiendatuxtla@gmail.com,Chiapas,Tuxtla Gutiérrez,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=108,"Venta: Alfarería, ámbar, cestería, juguetería, laca, lapidería, metalistería, talla en madera, talabartería, textil."
14,14,Museo Casa de las Artesanías,,,Chihuahua,Bocoyna,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=49,"Venta: Fibras, textil (rebozo, cobija,cinto de lana o paja, mandiles, torilleros, caminos de mesa), cerámica, madera."
15,15,Casa de las Artesanías del Estado de Chihuahua,,casartesaniaschihuahua@hotmail.com,Chihuahua,Chihuahua,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=53,"Venta:
Artesanía Tarahumara, menonita, y mestiza, cerámica de la región de Paquimé y muebles rústicos, dulces artesanales, carne seca, sotol y pinole.
Horario de servicio: Lunes a viernes de 9 a 17 hrs., sábado de 10 a 17 hrs."
16,16,Casa Mejicú,https://casamejicu.com/, ventastlalpan@casamejicu.com,Ciudad de México,Coyoacán,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=277,Casa Mejicú es 100% mexicana con más de 50 años de experiencia en el mercado. Ofrece la mayor variedad de artesanías mexicanas de la mejor calidad y trabaja con más de 250 comunidades y talleres de artesanos en la mayor parte de los estados productores de la República Mexicana. Promueve el arte y la cultura de México a través de sus artesanías.
17,17,"Casa de Artesanías Uriarte Talavera, Sucursal San Ángel",http://www.uriartetalavera.com.mx/,rosamaria.howe@uriartetalavera.com.mx,Ciudad de México,Álvaro Obregón,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=249,"Días y horario de servicio al público: Lunes a viernes de 11 a 20 hrs.
Días y horario de servicio de oficina: Lunes a viernes de 11 a 20 hrs."
18,18,"Tienda de Artesanías del Fonart, Sucursal Patriotismo",http://www.fonart.gob.mx,tda_patriotismo@fonart.gob.mx,Ciudad de México,Benito Juárez,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=30,"Venta: Bordados, fibras vegetales, joyería, madera, bronce, vidrio, metal, laca, alfarería, cerámica y todas las ramas artesanales.
Días y horario de servicio al público: Lunes a viernes de 10 a 20 hrs., sábado de 10 a 19 hrs., domingo de 11 a 17 hrs."
19,19,"Tienda de Artesanías IAIP, Sucursal Distrito Federal",http://www.iaip.pue.gob.mx,heimdaldf@hotmail.com,Ciudad de México,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=139,"Venta: Textil, barro. talabera, madera, ónix, mármol, pewter (metal), papel mate.
Fomenta canales de comercialización para los productos artesanales por medio de Ferias (Estatales, Regionales, Nacionales e Internacionales) y puntos de promoción de venta con que cuenta el Instituto como en Puebla, Pue., Tehuacan, Pue., Distrito Federal y Tlaquepaque, Jal."
20,20,"Tienda de Artesanías del Fonart, Sucursal Palacio Nacional",http://www.fonart.gob.mx,tda_palacio@fonart.gob.mx,Ciudad de México,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=31,"Venta: Bordados, fibras vegetales, joyería, madera, bronce, vidrio, metal, laca, alfarería, cerámica y todas las ramas artesanales.
Días y horario de servicio al público: Lunes a viernes de 8 a 20 hrs."
21,21,Tienda de Artesanías del Fonart<br>Tienda Reforma,http://www.fonart.gob.mx,tda_reforma@fonart.gob.mx,Ciudad de México,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=38,"Venta: Bordados, fibras vegetales, joyería, madera, bronce, vidrio, metal, laca, alfarería, cerámica y todas las ramas artesanales.
Días y horario de servicio al público: Lunes a viernes de 10 a 19 hrs., sábado y domingo de 10 a 16 hrs."
22,22,La Canasta. Tienda de Artes de México,https://www.facebook.com/pages/La-Canasta-Tienda-de-Artes-de-M%C3%A9xico/539289399484878,servicios.clientes@artesdemexico.com,Ciudad de México,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=204,
23,23,"Tienda del Museo de Arte Popular, Casa Matriz",https://www.tiendamap.com.mx/,tiendadelmap@gmail.com,Ciudad de México,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=157,Venta: Artesanía de todo tipo de todos los estados de la República.
24,24,"Tienda de Artesanías del Fonart, Sucursal Juárez","http://www.fonat,gob.mx",tda_juarez @fonart.gob.mx,Ciudad de México,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=36,"Venta: Bordados, fibras vegetales, joyería, madera, bronce, vidrio, metal, laca, alfarería, cerámica y todas las ramas artesanales.
Días y horario de servicio al público: Lunes a viernes de 10 a 19 hrs., sábado de 10 a 18 hrs., domingo de 10 a 16 hrs."
25,25,"Tienda del Museo de Arte Popular, Sucursal Polanco",http://www.tiendamap.com/index.php?route=product/category&path=98,tiendadelmap@gmail.com; direccion2@tiendamap.com.mx; karen.torres@tiendamap.com.mx,Ciudad de México,Miguel Hidalgo,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=158,"Venta: Todo tipo de artesanías de todos los estados de la República.

Horario de servicio: lunes a domingo de 9 a 18 hrs."
26,26,"Casa de Artesanías Uriarte Talavera, Sucursal Polanco",http://www.uriartetalavera.com.mx/puntosdeventa.php,polanco@uriartetalavera.com.mx ,Ciudad de México,Miguel Hidalgo,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=228,"Venta: Talavera, vajillas, decoración, jardín, azulejos, joyería con talavera y baño de oro de 22 kilates así como en plata.
Horario de servicio: Lunes a viernes de 11 a 19 hrs., sábados de 11 a 15 hrs."
27,27,Tienda Permanente del Museo Nacional de Antropología,http://www.tiendadelmuseo.com.mx,,Ciudad de México,Miguel Hidalgo,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=21,"Venta: Barro, cerámica, textil (vestidos), vidrio, madera, popotillo."
28,28,Tienda Casa Chiapas AICM-T1,http://casachiapas.gob.mx/funcionarios1,tiendaaicm@gmail.com,Ciudad de México,Venustiano Carranza,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=119,"Venta: Alfarería, ámbar, cestería, juguetería, laca, lapidería, metalistería, talla en madera, talabartería, textil."
29,29,"Tienda de Artesanías del Fonart, Tienda Galerías 2 Aeropuerto Internacional de la Ciudad de México",,http://www.fonart.gob.mx,Ciudad de México,Venustiano Carranza,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=198,"Venta: Bordados, fibras vegetales, joyería, madera, bronce, vidrio, metal, laca, alfarería, cerámica y todas las ramas artesanales.
Días y horario de servicio al público: Lunes a viernes de 8 a 20 hrs."
30,30,Casa de Artesanías Tlacuhilos,http://www.ujed.mx/portal/publico/inicio.aspx,escueladepintura@yahoo.com.mx,Durango,Durango,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=58,"Venta: Vidrio soplado, lana (tapete, jorongo, capas, alfombras), estampado (manteles, servilletas), cerámica, textil, barro, reciclado de vidrio.
Horario de servicio: Lunes a domingo de 10 a 13:30 hrs. y de 16 a 19:30 hrs."
31,31,Tienda de Artesanías Casa del Conde de la Valenciana,,casacondevalenciana@hotmail.com,Guanajuato,Guanajuato,http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=57,
