,Unnamed: 0,Nombre,Página Web,Email,Entidad,Municipio,Enlace SIC,Descripción
0,0,Centro Cultural y Café Tercera Llamada,,tercerallamada_arteycafe@hotmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=2889,"El inmueble que ocupa Tercera Llamada originalmente se utilizó como escuela durante varios años. En marzo de 2009 el espacio se remodeló y adaptó para ser utilizado como teatro, así como sede de talleres, cursos, clases, ensayos y presentaciones de teatro, danza, música, poesía, literatura, cine y pintura. Cuenta con cafetería, en donde se ofrecen bebidas y platillos con base en productos mexicanos y orgánicos, así como café y chocolate tradicional. Cabe señalar que todos los espacios culturales de Tercera Llamada se acondicionan a solicitud expresa de las compañías artísticas que así lo soliciten."
1,1,Centro Cultural Los Arquitos,http://www.aguascalientes.gob.mx/temas/cultura,c.culturallosarquitos@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=1143,"El inmueble se construyó en el año 1821 y alojó los primeros baños públicos para el repartidero de agua del Ojocaliente, de esta manera se surtía agua a los 13 placeres o tinas y al conjunto de lavaderos. En el año de 1970 comenzó el deterioro del lugar y fue rescatado por el gobierno, que lo declaró patrimonio nacional. Se inauguró como Centro Cultural el 12 de noviembre de 1994."
2,2,"Centro Cultural Aquelarre, la vindicación del ocio",,aquelarreviva@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=3333,
3,3,Centro Municipal de Desarrollo Social Colonia La Salud (CEMDES),,evange58@hotmail.com; w.salazar.rule@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=2423,"El inmueble fue adaptado para albergar al Centro Municipal de Desarrollo Social Colonia La Salud (CEMDES).

Superficie de construcción: 320 m2

Asistencia promedio mensual de visitantes: 120
Asistencia total de visitantes en el año 2010: 1400"
4,4,Centro de Investigación y Experimentación Gráfica El Obraje,http://www.aguascalientes.gob.mx/temas/cultura/Noticias/boletines/2011/009.aspx,,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=1425,"Es una construcción de finales del siglo XIX y principios del siglo XX construida en su mayoría con muros de adobe, ventanas y puertas de madera, piso de mosaico de concreto en color rojo, techos de bóveda, vigueta y cuña, la finca anteriormente era casa habitación y posteriormente fue acondicionada como Museo de Arte Contemporáneo el día 13 de abril de 1991.

Superficie de construcción: 351.04 m2

Asistencia promedio mensual de visitantes: 16 visitantes
Asistencia total de visitantes en el año 2010: 194 visitantes"
5,5,Casa Cultural Netei,http://netei.org,neteiac@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=3330,
6,6,Centro de Animación Cultural Casa Jesús Terán Peredo,https://www.facebook.com/Casa-Ter%C3%A1n-203529386336017/,casajesusteran@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=1480,"En 1795 empezó la construcción del inmueble y en abril de 1992 fue adaptado para albergar al Centro de Animación Cultural Casa Jesús Terán Peredo.

Casa-habitación donde nació Jesús Terán Peredo, Gobernador del Estado de Aguascalientes en dos periodos, 1849 y 1855, fundador del Instituto Científico y Literario antecedente de la Universidad Autónoma de Aguascalientes y Secretario de Gobernación del presidente Ignacio Comonfort. Mediante decreto publicado en el Diario Oficial de la Federación el 15 de julio de 1986, la casa fue declarada monumento histórico.
En 1991, Año de Jesús Terán Peredo, el Gobierno del Estado de Aguascalientes expropia y restaura la finca entregándosela al Instituto Cultural de Aguascalientes para convertirla en Centro de Animación Cultural Jesús Terán el 25 de abril de 1992."
7,7,Centro de Seguridad Social IMSS Aguascalientes,http://www.imss.gob.mx,jose.padillac@imss.gob.mx,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=2454,1 de enero de 1964
8,8,Casa de la Cultura Víctor Sandoval,http://www.aguascalientes.gob.mx/temas/cultura/,direcciongeneralica@aguascalientes.gob.mx,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=258,"Los antecedentes históricos de este viejo inmueble se remiten a las primeras décadas del sigo XVII, siendo su primera dueña Doña Jacinta de Ortega, que obtuvo el predio por herencia familiar en 1625, de esta forma la casa fue ocupada por espacio de 54 años.
La casa es adjudicada por vía donación testamentaria, hecha por el bachiller Don Mariano Guerrero, El 7 de agosto de 1840 para la fundación del Convento y Colegio de la Enseñanza. En los años de 1848 a 1850 se construye enfrente del Convento la Capilla (hoy el Conventito o Parroquia del Sagrario), para sus actividades religiosas. En lo que resta del XIX la mansión tiene diferentes usos, aunque seguía funcionando como convento y colegio.
Se sabe por escritos del cronista Topete del Valle que la porción de la esquina era rentada a la Sociedad Católica para el funcionamiento de una Escuela de Niños, en noviembre de 1886 funcionó el Colegio Seminario de Nuestra Señora de Guadalupe, allí estuvo hasta el año de 1914 en que autoridades emanadas de la Revolución, confiscaron la parte del edificio que hacia esquina.
De 1926 a 1965 se establece una Escuela Tipo, por acuerdo de la Secretaria de Educación Pública. El gobierno Estatal decide que se estableciera aquí la Casa de la Cultura, hace un convenio con el Gobierno Federal para que la Escuela Federal Tipo fuera ubicada en otro espacio y en su lugar la Casa de la Cultura.

Superficie de construcción: 2437.67 m2"
9,9,Centro de Artes Visuales,,centrodeartesvisuales@yahoo.com.mx,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=2707,1 de enero de 1975
10,10,Macro Espacio para la Cultura y las Artes (MECA),,,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=3121,"El MECA está ubicado en los antiguos Talleres de Ferrocarril. Esta industria ferrocarrilera implantada en el estado en 1884, transformó permanentemente la historia económica y social de Aguascalientes, siendo además uno de los espacios más representativos y de mayor fuerza simbólica del patrimonio industrial del estado. La voluntad de revalorizar este espacio en desuso se concretó por primera vez en 2003 con la inauguración de la plaza de las Tres Centurias que reaprovechaba una parte de los talleres para dar lugar al Museo Ferrocarrilero y a un centro de convenciones. Este complejo cultural alberga a el Museo Espacio, el Foro 13 (para congresos y convenciones) un auditorio de usos múltiples, el Taller de la Gráfica Nacional, una Sala de Conciertos sede de la Orquesta Sinfónica de Aguascalientes, dispone también de amplias áreas educativas, en donde se desarrollan talleres artísticos de todos los niveles, impartidos por el Instituto Cultural de Aguascalientes. Igualmente, dentro de las instalaciones del complejo se encuentra el nuevo campus de la Universidad de las Artes, institución pública que ofrece educación superior en las disciplinas de Danza, Teatro, Música y Artes Plásticas y una biblioteca de artes, entre otros equipamientos."
11,11,Centro de Investigación y Estudios Literarios de Aguascalientes Fraguas,http://www.aguascalientes.gob.mx/cultura/,cielafr@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=2088,"En 1908 el inmueble fue construido por el Mtro. de obra Refugio Reyes, casa donde nació el célebre músico Alfonso Esparza Oteo. También fungió como casa del Arzobispado. En 2004 el Gobierno del Estado lo otorga al Centro de Investigación y Estudios Literarios de Aguascalientes Fraguas.

Superficie de construcción: 766.43 m2

Asistencia promedio mensual de visitantes: 500
Asistencia total de visitantes en el año 2010: 1,750

Centro organizador del Premio Bellas Artes de Poesía Aguascalientes, Premio Salvador Gallardo Dávalos, Encuentro de Poetas del Mundo Latino extensión Aguascalientes y Premio de Poetas del Mundo Latino Víctor Sandoval."
12,12,Centro Cultural ISSSTE Aguascalientes,http://www.isssteags.gob.mx,ub_issste@hotmail.com; booa_angy@hotmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=1071,"Inicialmente el inmueble fue ocupado por el Sindicato Magisterial de Aguascalientes, se instalaron los talleres gráficos del Sindicato de Maestros, que a la fecha, continúan con sus labores, también estuvo un hotel dando alojamiento a maestros que realizaron algunos estudios como Licenciaturas, estuvo la Tienda Superissste, actualmente alberga al Centro Cultural ISSSTE Aguascalientes.

Asistencia promedio mensual de visitantes: 750 personas
Asistencia total de visitantes en el año 2010: 9,000 personas"
13,13,Centro Cultural Ángel,,centroculturalangel@hotmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=3097,"Es un espacio abierto a todo público, donde se puede desarrollar habilidades artísticas y culturales."
14,14,Centro de Educación Ambiental Cultural y Recreativo El Cedazo,http://www.aguascalientes.gob.mx/ssmaa/areasverdes/cearcedazo.html,elcedazo@aguascalientes.gob.mx,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=1144,"El parque nace en el año 1996 con la finalidad de rescatar el área de manantial, conocida como el cedazo, que abastecía a la Villa de Nuestra Señora de la Asunción mediante el Sistema de Conducción de Agua que data del año 1730. Actualmente es uno de los lugares predilectos para la práctica de deportes como fútbol, fútbol soccer infantil, básquetbol, voleibol, tenis y fútbol de salón, además cuenta con un gimnasio al aire libre, ciclo pista, pista para corredores y pista de patinaje extremo donde se organizan concursos de BMX y skate por las tardes. El parque también alberga El Caracol, el único centro paleontológico del estado; a un costado también se encuentra La Casa del Adolescente donde organizan talleres artísticos y deportivos de los que disfruta la comunidad."
15,15,Casa Triana,,casatrianaags@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=3346,Talleres de arte en horarios extendidos. Actividades de gestión cultural y venta de artística y artesanal.
