,Unnamed: 0,Nombre,Página Web,Email,Entidad,Municipio,Enlace SIC,Descripción
0,0,Fonoteca El Colegio de la Frontera Norte ,https://soundcloud.com/fonotecaelcolef,fonoteca@colef.mx,Baja California,Tijuana,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=36,"La Fonoteca El Colef es un proyecto de El Colegio de la Frontera Norte fundado por el Dr. Miguel Olmos Aguilera bajo la dirección de la Dra. Ana Gabriela Hernández López. Los principales objetivos se concentran en la recuperación y rescate de la memoria sonora de la frontera norte de México mediante la investigación, registro, digitalización y catalogación de documentos sonoros. Así como salvaguardar la música de los grupos indígenas y dar difusión del acervo de la Fonoteca.
La Fonoteca El COLEF es un espacio que se dedica a salvaguardar el patrimonio cultural inmaterial de la región fronteriza, es decir, que los documentos y registros resguardados se caracterizan por reflejar las expresiones y representaciones que evidencian las transformaciones y/o persistencias estructurales, culturales e históricas que conforman, en conjunto, el patrimonio cultural sonoro fronterizo. El cual remite a la memoria y por lo tanto infunde identidad y continuidad.
Con la intención de promover y difundir el acervo, la Fonoteca de El Colef hace uso de SoundCloud como catálogo para su consulta libre por parte de investigadores, estudiantes y público en general. Entre las tareas que se realizan, además del registro, clasificación y catalogación de documentos sonoros. Se producen videos informativos para la difusión del contenido, al igual que la participación activa de los integrantes en presentaciones dirigidas a alumnos de educación básica y media superior."
1,1,Dirección General de Culturas Populares e Indígenas,http://www.culturaspopulareseindigenas.gob.mx/index.php/cid/104-acervos-fonoteca-.html,lauraruizm@conaculta.gob.mx,Ciudad de México,Coyoacán,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=10,"Atesora una parte importante de las expresiones musicales populares y de los testimonios orales sobre tradiciones, leyendas y narraciones, así como entrevistas, conferencias y mesas redondas referentes a la danza, literatura, artesanías y teatro populares."
2,2,Fonoteca del Cine Nacional Manuel Esperón,http://www.estudioschurubusco.com,barochi@estudioschurubusco.com; tlacamata@estudioschurubusco.com,Ciudad de México,Coyoacán,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=14,"Acervo de recuperación de la música y efectos sonoros del cine mexicano de la época de oro. Cuenta con la música y pistas de 1,800 películas mexicanas de la referida época."
3,3,Sala de Fonoteca,http://bnm.unam.mx/index.php/biblioteca-nacional-de-mexico/colecciones/fondo-contemporaneo/sala-fonoteca,sonias@unam.mx,Ciudad de México,Coyoacán,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=4,"La Sala de Fonoteca se creó con la finalidad de reunir los materiales sonoros en diversos formatos, así como aquellos documentos relacionados con la música. Sus funciones son las de recopilar, organizar, conservar y difundir la producción nacional de obras sonoras, con fundamento en el decreto de Depósito Legal que obliga a los editores del país a depositar en la Biblioteca Nacional de México un ejemplar de audiograbaciones y dos ejemplares en el caso de las partituras impresas en el país, también se complementa la colección con la adquisición de obras extranjeras sobre música y compositores mexicanos."
4,4,Fonoteca de la Biblioteca Cuicamatini,http://www.fam.unam.mx/servicios/biblioteca.php,cuicamatini@gmail.com,Ciudad de México,Coyoacán,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=13,"No se tiene fecha de creación de los acervos sonoros de la Biblioteca Cuicamatini, pero es muy probable que desde los inicios de la Facultad de Música (FaM) en 1929 hayan comenzado a reunirse por medio de donaciones.
El 7 de agosto de 1996 fue inaugurado el edificio ex profeso para albergar a la Biblioteca y por lo tanto a la Fonoteca.

Breve descripción de la fonoteca: La fonoteca tiene por objetivo apoyar los planes y programas de estudio de la Facultad de Música, pero también atiende a público en general.
En su mayoría la temática del acervo está enfocada a la música clásica.
Contamos con una sección de música mexicana inédita que son las grabaciones que presentan los alumnos como opción de titulación.
Los registros en el catálogo en línea son de grabaciones de discos compactos por ser los de mayor demanda, además se pueden hacer búsquedas en los diversos acervos que tiene la biblioteca http://132.248.143.51:8991/F"
5,5,Fonoteca Nacional,http://www.fonotecanacional.gob.mx/,informesfonoteca@cultura.gob.mx,Ciudad de México,Coyoacán,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=32,"La Fonoteca Nacional es una institución sin precedentes en la historia de México y su creación obedece a la apremiante necesidad de rescatar y salvaguardar la vasta herencia sonora de nuestro país. La reflexión en torno a las situaciones adversas que han enfrentado los acervos sonoros en México conllevó a edificar esta institución integral para recopilar, conservar, preservar y difundir el patrimonio sonoro nacional. El 12 de agosto de 2004, la Secretaría de la Función Pública cedió en calidad de comodato- la Casa Alvarado a la Secretaría de Educación Pública, para ser asignada a través del entonces Consejo Nacional para la Cultura y las Artes como sede de la Fonoteca Nacional, la primera de su tipo en América Latina. Tras una labor de restauración y nueva obra civil a cargo de la Dirección General de Sitios y Monumentos del Consejo Nacional para la Cultura y las Artes, la Casa Alvarado y el nuevo Edificio de Preservación quedaron listos en enero de 2008. Equipada con tecnología de punta, la Fonoteca Nacional abrió sus puertas, el 10 de diciembre de 2008, para acoger uno de los patrimonios más frágiles y desatendidos a lo largo del siglo XX. Con la apertura de la Fonoteca Nacional, la Secretaría de Educación Pública y el Consejo Nacional para la Cultura y las Artes, emprendieron acciones contundentes para rescatar la memoria sonora del país e impulsar así,una cultura del reconocimiento del valor de estos acervos."
6,6,Fonoteca del Centro Nacional de las Artes,http://www.cenart.gob.mx/vida-academica/biblioteca-de-las-artes/,fonoteca@cultura.gob.mx,Ciudad de México,Coyoacán,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=6,"La Fonoteca/Videoteca de la Biblioteca de las Artes cuenta con 12 módulos en sala con tecnología de punta (cada módulo consta de monitor de alta resolución, un par de audífonos y control sensible al tacto), para que el usuario pueda escuchar y/o ver los materiales de su acervo, el cual está integrado por discos compactos, discos LP, videocasetes, discos láser, DVD's, casetes, etc."
7,7,"Centro Nacional de Investigación, Documentación e Información Musical Carlos Chávez",http://www.cenidim.bellasartes.gob.mx,cd.cenidim@cultura.gob.mx,Ciudad de México,Coyoacán,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=5,"El Acervo fonográfico de la fonoteca está integrado con grabaciones que fueron realizadas a partir de los años cuarenta, por investigadores como Raúl Hellmer, Henrietta Yurchenco, Gerónimo Baqueiro Fóster, Raúl Guerrero, Federico Rincón, Alfonso Ortega, Samuel Martí, Jesús Bal y Gay, Carmen Sordo Sodi, Baltasar Samper, Raúl Pavón, Hiram Dordelly y Guillermo Contreras entre otros."
8,8,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,http://bnm.unam.mx/index.php/biblioteca-nacional-de-mexico/colecciones/fondo-contemporaneo/sala-fonoteca,avalderrama@edi.gob.mx,Ciudad de México,Álvaro Obregón,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=8,
9,9,Fonoteca de la Escuela Nacional de Antropología e Historia,http://www.enah.edu.mx/,direccion.enah@inah.gob.mx,Ciudad de México,Tlalpan,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=12,
