,Unnamed: 0,Nombre,Página Web,Email,Entidad,Municipio,Enlace SIC,Descripción
0,0,Fototeca Universitaria UAA,http://fototecauniversitaria.uaa.mx/,aurora.figueroa@edu.uaa.mx,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=fototeca&table_id=98,Acervo fotográfico de la Universidad Autónoma Aguascalientes así como fondos documentales incorporados a la UAA.
1,1,Fototeca del Instituto de Investigaciones Culturales-Museo,,,Baja California,Mexicali,http://sic.gob.mx/ficha.php?table=fototeca&table_id=99,"El acervo está conformado por fotografías en papel negativos, transparencias e imágenes digitales. Contiene temas de interés para la historia regional."
2,2,Archivo Histórico del Estado de Baja California,,cldiaz@baja.gob.mx,Baja California,Mexicali,http://sic.gob.mx/ficha.php?table=fototeca&table_id=133,Resguarda los documentos y fotografías que por su valor histórico conforman el acopio más importante de la memoria documental y gráfica del Estado de Baja California.
3,3,Archivo Fotográfico de El Colegio de la Frontera Norte,http://www.colef.mx/foto ,foto@colef.mx,Baja California,Tijuana,http://sic.gob.mx/ficha.php?table=fototeca&table_id=114,"El Archivo fotográfico de El Colegio de la Frontera Norte, nace con el desarrollo de la misma institución. En 1985 nace el proyecto de investigación El Cañón Zapata basado en el registro fotográfico de migrantes en su tránsito diario hacia Estados Unidos, este proyecto duró hasta 1992. En este sentido nace el Archivo fotográfico de El Colef.
A su vez, distintos proyectos de investigación han utilizado a la fotografía como recurso de apoyo, se suman a esta conformación los eventos académicos y actividades del desarrollo de la institución."
4,4,Fototeca del Archivo Histórico del Estado de Baja California Sur Pablo L. Martínez,,eliza_amendia@hotmail.com,Baja California Sur,La Paz,http://sic.gob.mx/ficha.php?table=fototeca&table_id=115,"Se formó la colección fotográfica Gustavo Casasola, con la adquisición de 150 reproducciones de su obra. Actualmente cuenta con diferentes colecciones fotográficas. Las fotografías reproducidas son presentadas en color sepia con medidas de 15 x 10 pulgadas y pegadas en bastidores de madera."
5,5,Archivo Municipal de Campeche,https://es-la.facebook.com/ArchvivoMunicipaldeCampeche/,cronista1@prodigy.net.mx,Campeche,Campeche,http://sic.gob.mx/ficha.php?table=fototeca&table_id=11,"Se formó al crearse el archivo municipal en el año de 1990.
Total aproximado de piezas: 100,000 La fototeca está dividida en 23 fondos catalográficos, cada uno corresponde a cada alcalde que ha gobernado la ciudad a partir de 1956. Las imágenes anteriores a esa fecha pertenecen a un fondo aparte denominado Imágenes de ayer, integrado en su mayoría por reproducciones de principios del siglo XX y que nos presenta en sus series de Acontecimientos políticos, Ciudad y puerto de Campeche, Educación, Gente, Sociedad y Vida Cotidiana al Campeche que conocieron nuestros abuelos con sus calles empedradas, sus lienzos de muralla y la gente que lo habitaba. Respecto al resto de los fondos, éstos inician con el trienio de Leovigildo Gómez Hernández 1956-1958 hasta María Rafaela Santamaría Blum, 2006. Dividido en nueve series tituladas Campañas, Inauguración de obras, Visitas a colonias populares, Obras públicas, Visitas y actividades gubernamentales y federales, Acontecimientos políticos, Sociedad, Cultura y Deporte. Que dan cuenta de la vida de nuestra ciudad desde mediados del siglo pasado hasta nuestro presente."
6,6,Fototeca Francisco Cicero,http://agec.campeche.gob.mx,archivo.general@campeche.gob.mx,Campeche,Campeche,http://sic.gob.mx/ficha.php?table=fototeca&table_id=100,"Es un área perteneciente al Departamento de Control de Acervos y Atención a Usuarios del Archivo General del Estado de Campeche, ubicada en el primer piso sede del AGEC, que cuenta con una sala de consulta y espacio de almacenamiento del material fotográfico."
7,7,"Museo Biblioteca Pape, A.C.",http://www.conaculta.gob.mx/cimagen/catalogo/museos2.html,,Coahuila de Zaragoza,Monclova,http://sic.gob.mx/ficha.php?table=fototeca&table_id=89,"El acervo se creó en 1977 por donación y tomas periódicas.

Total aproximado de piezas: 7,000"
8,8,Fototeca del Archivo Municipal de Saltillo,http://www.archivomunicipaldesaltillo.gob.mx,informes@archivomunicipaldesaltillo.gob.mx ,Coahuila de Zaragoza,Saltillo,http://sic.gob.mx/ficha.php?table=fototeca&table_id=88,"La Fototeca del Archivo Municipal de Saltillo es una instancia de carácter público que resguarda imágenes desde 1868 relacionadas con personajes históricos, familias, habitantes, edificios, calles, plazas y, por supuesto, sobre las administraciones públicas municipales y sus actividades desde 1973 hasta la actualidad, en temas como: desarrollo social y rural, obras públicas, infraestructura, promoción cultural, deportes. La Fototeca del Archivo forma parte del Sistema Nacional de Fototecas."
9,9,Archivo Fotográfico Gertrude Duby Blom de la Asociación Cultural Na Bolom,https://www.nabolom.org/fototeca-chiapas,nabolom@sclc.ecosur.mx,Chiapas,San Cristóbal de las Casas,http://sic.gob.mx/ficha.php?table=fototeca&table_id=84,"El acervo se creó en 1993. Entre 1943 y la década de los 80, Gertrude Duby Blom, junto con su esposo Frans Bolom, formó un valioso archivo fotográfico sobre la cultura maya, la deforestación en los Altos de Chiapas y en la Selva Lacandona, y la arqueología maya. Se encuentra integrada al Sistema Nacional de Fototecas.

Total aproximado de piezas: 40,000"
10,10,Archivo Histórico de Chiapas-UNICACH,http://www.facebook.com/Archivo2018/,archivohistorico@unicach.mx,Chiapas,Tuxtla Gutiérrez,http://sic.gob.mx/ficha.php?table=fototeca&table_id=85,Integrada por seis fondos y colecciones fotográficas.
11,11,Fototeca Centro INAH Chihuahua,http://inahchihuahua.gob.mx/sections.pl?id=17,jgc1958@gmail.com,Chihuahua,Chihuahua,http://sic.gob.mx/ficha.php?table=fototeca&table_id=87,"La Fototeca nace luego de la conformación del SINAFO y bajo una convocatoria a concurso llamada Reviviendo el Pasado, nombre que se le dio a la primer colección reunida. Su acervo se ha seguido incrementando con la misma estrategia, además de integrar material producido por el Centro INAH Chihuahua y recibir algunas donaciones esporádicas. Originalmente se ubicaba en las instalaciones del Centro INAH Chihuahua y a partir de la apertura de museo Casa Chihuahua Centro de Patrimonio Cultural en 2006, ocupa una parte del sótano de dicho recinto."
12,12,Fototeca de la Coordinación Nacional de Conservación del Patrimonio Cultural del INAH,http://sinafo.inah.gob.mx/fototeca-cncpc/,atencion.sinafo@inah.gob.mx,Ciudad de México,Coyoacán,http://sic.gob.mx/ficha.php?table=fototeca&table_id=69,1986
13,13,Fototeca del IISUNAM,http://ru.iis.sociales.unam.mx/jspui/handle/IIS/43,fototeca.iis@sociales.unam.mx,Ciudad de México,Coyoacán,http://sic.gob.mx/ficha.php?table=fototeca&table_id=56,"El Archivo Fotográfico México Indígena se generó como parte del gran proyecto de investigación que el Instituto de Investigaciones Sociales de la Universidad Nacional Autónoma de México llevó a cabo en los años 1939-1946, durante la gestión del doctor Lucio Mendieta y Núñez, con el fin de levantar la primera Carta Etnográfica de la República Mexicana como primer paso obligado para el conocimiento de la población indígena. El acervo esta compuesto por 5100 negativos en su mayoría de nitrato de celulosa, y una menor parte en formato de 35 mm película de seguridad. 9600 positivos, en blanco y negro y, 13 álbunes de positivos. (no existen fotos a color)"
14,14,Iconoteca de la Biblioteca Nacional de México,,fonres@unam.mx,Ciudad de México,Coyoacán,http://sic.gob.mx/ficha.php?table=fototeca&table_id=77,"La iconoteca se creó en 1981 y tiene como antecedente al Museo Iconográfico de la Hemeroteca Nacional, inaugurado el 28 de marzo de 1944. Al abrirse la Unidad Bibliográfica del Centro Cultural se crean las salas especiales entre las que se encuentra la Iconoteca, cuyo objetivo es reunir todo el material iconográfico de la Biblioteca y la Hemeroteca."
15,15,Diapositeca Digital de la Facultad de Arquitectura ,http://arquitectura.unam.mx/diapositeca.html,comsoc.fa@unam.mx,Ciudad de México,Coyoacán,http://sic.gob.mx/ficha.php?table=fototeca&table_id=107,"A partir de 1985, se inicio con el acervo existente de aproximadamente 30,000 diapositivas, posteriormente se fue incrementando con donaciones, compra, intercambios y tomas realizadas por el propio centro.

Total aproximado de piezas: 130,000 diapositivas."
16,16,Fototeca de la Filmoteca UNAM,http://www.filmoteca.unam.mx,antonia@unam.mx,Ciudad de México,Coyoacán,http://sic.gob.mx/ficha.php?table=fototeca&table_id=113,"La Fototeca es una de las cinco áreas que conforman el Centro de Documentación de la Filmoteca de la UNAM, tiene por objetivo la conservación y preservación de sus colecciones para el apoyo a la difusión de la cultura cinematográfica de nuestro país."
17,17,"Herbario Nacional de México, Instituto de Biología de la UNAM",http://www.ib.unam.mx/botanica/herbario/,mexu@ib.unam.mx,Ciudad de México,Coyoacán,http://sic.gob.mx/ficha.php?table=fototeca&table_id=52,"El acervo se creó en 1996 a través de la donación de José Vázquez, farmacobiólogo español que desempeño su trabajo en México.

Total aproximado de piezas: 6,580"
18,18,Archivo Fotográfico Manuel Toussaint,,iieweb@unam.mx,Ciudad de México,Coyoacán,http://sic.gob.mx/ficha.php?table=fototeca&table_id=145,"Este Archivo Fotográfico es un fiel testimonio de la importante actividad, consecuente con las tareas de docencia, investigación y difusión del patrimonio artístico mexicano. Este archivo se divide en cinco fondos:
a ) Diapositeca: su apartado más numeroso, destinado esencialmente a la docencia e investigación del arte mexicano, aunque también existen series de imágenes dedicadas al arte latinoamericano y universal.
Colección de diapositivas del AFMT b) Blanco y negro: formado sobre todo con negativos en formato 35 mm. En su momento, los materiales que componen esta sección se destinaron a ilustrar las primeras publicaciones realizadas por el Instituto de Investigaciones Estéticas.
Colección de materiales en blanco y negro del AFMT c) Colecciones del Archivo Fotográfico Manuel Toussaint: que agrupa los fondos de autor, una serie de donaciones realizadas por diversos estudiosos del arte mexicano, y finalmente, algunas secciones formadas por el quehacer archivo, en el que se consideraron características históricas o materiales de las fotografías localizadas en cada apartado.
Imagenes digitales del AFMT e) una sección de Video, que organiza principalmente algunas de las producciones para TV hechas por el propio Instituto de investigaciones Estéticas, y contempla una colección de programas relacionados con el arte mexicano y universal como apoyo a los programas docentes que así lo requieran."
19,19,Instituto de Investigaciones Estéticas de la UNAM,lhttp://www.esteticas.unam.mx/,afmt@unam.mx,Ciudad de México,Coyoacán,http://sic.gob.mx/ficha.php?table=fototeca&table_id=108,"Se abrió en 1935 con las donaciones de varios academicos y de otros miembros del recién creado Laboratorio de Arte, posteriormente en 1953 se convierte en el Archivo Fotográfico Manuel Toussaint
Total aproximado de piezas: 780,000 Colecciones especiales: 72,000"
20,20,Fototeca del Centro de Información y Documentación Alberto Beltrán,http://cidalbertobeltran.cultura.gob.mx,cpcid@cultura.gob.mx,Ciudad de México,Coyoacán,http://sic.gob.mx/ficha.php?table=fototeca&table_id=64,"La fototeca es uno de los 6 acervos que componen el Centro de Información y Documentación Alberto Beltrán, el cual está compuesto de varias colecciones de distintos fotógrafos como: Alberto Beltrán, Ana Pellicer, Christa Cowrie, Guillermo Vargas, Jas Reuter, Jorge Torres Pelayo, Pablo Méndez, Rogelio Cuéllar, entre otros.
Asimismo contamos con las fotografías del Fondo Nacional para el Desarrollo de la Danza Popular Mexicana (FONADAN)."
21,21,Área de Acervos Históricos de la Biblioteca Francisco Xavier Clavijero de la Universidad Iberoamericana,http://www.bib.uia.mx,luis.inclan@ibero.mx,Ciudad de México,Cuajimalpa de Morelos,http://sic.gob.mx/ficha.php?table=fototeca&table_id=45,"El área de Acervos Históricos de la Biblioteca Francisco Xavier Clavijero de la Universidad Iberoamericana se creó en 1982 y se constituyó como área especial para guardar libros antiguos o raros y fondos documentales.

Total aproximado de piezas: 1,443"
22,22,Archivo Privado de Fotos y Gráfica Kati y José Horna,http://sac.usal.es/index.php/archivo/ano-2012/274-kati-horna-abril-junio-2012,norahhorna@yahoo.com,Ciudad de México,La Magdalena Contreras,http://sic.gob.mx/ficha.php?table=fototeca&table_id=102,"Se creó en el año 2001. Tras el fallecimiento de la fotógrafa, la Dra. Norah Horna decidió constituir la colección como un archivo fotográfico."
23,23,Museo Casa Estudio Diego Rivera y Frida Kahlo,http://www.estudiodiegorivera.bellasartes.gob.mx/,medr.registroobra@inba.gob.mx,Ciudad de México,Álvaro Obregón,http://sic.gob.mx/ficha.php?table=fototeca&table_id=5,"La fototeca se constituyó inicialmente como un archivo de trabajo interno por y para los investigadores del propio museo en la década de los noventas a partir de las exposiciones generadas en el recinto. Posteriormente se integraron reproducciones fotográficas que con apoyo del personal del área de investigación, coleccionistas y diversas instituciones se llevó a cabo la identificación de personajes, datación de imágenes de Diego rivera y Frida Kahlo, así como de sus contemporáneos. Y muy posteriormente de Juan O´Gorman. De igual forma, con el paso del tiempo se han ido sumando recolecciones y traslado de obra, montaje en salas, registro de exhibiciones temporales y permanente, cursos, talleres, actividades culturales, fachada y proceso de restauración de los inmuebles, inauguraciones, itinerancias y préstamo de piezas."
24,24,Fototeca Nacho López de la Comisión ,,silvia.gomez@cdi.gob.mx,Ciudad de México,Álvaro Obregón,http://sic.gob.mx/ficha.php?table=fototeca&table_id=70,"El acervo fue reunido en 1977 y veinte años más tarde fue integrado al Centro de Investigación, Información y Documentación del Instituto Nacional Indigenista (actualmente Comisión Nacional para el Desarrollo de los Pueblos Indígenas). Desde su fundación, el personal de la fototeca ha realizado registros fotográficos, así como la compilación de materiales especializados en la vida de los pueblos indígenas de México. Su acervo consta de unas 150 mil piezas."
25,25,Fototeca del Instituto Nacional de Estudios Históricos de las Revoluciones de México,http://www.inehrm.gob.mx/es/inehrm/Fototeca,rafael.hernandez@cultura.gob.mx; cecilia.pacheco@cultura.gob.mx ,Ciudad de México,Álvaro Obregón,http://sic.gob.mx/ficha.php?table=fototeca&table_id=141,"Tiene como objetivo dirigir y coordinar el acervo iconográfico institucional, así como brindar las políticas de divulgación del mismo, para su aprovechamiento y funcionalidad realizando proyectos de investigación histórica, iconográfica y proporcionando consultoría y asesoría a proyectos internos y externos.
Por medio de este proyecto se pretende dar a conocer las imágenes del Archivo, para la comunidad académica y público interesado en la historia gráfica de nuestro país, a través de la investigación histórica, catalogación, conservación y digitalización del acervo gráfico."
