,Unnamed: 0,Nombre,Página Web,Email,Entidad,Municipio,Enlace SIC,Descripción
0,0,Galería La Huerta,,c.culturallosarquitos@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=349,"Exhibe obras temporales de reconocidos artistas, tanto nacionales como internacionales."
1,1,Galería La Señal en el Muro,,cielafraguas.ica@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=1449,"Se realizan exposiciones artísticas que tienen como núcleo la literatura, mediante pintura, fotografía, grabado, o bien, de carácter histórico, como colecciones o muestras importantes del arte literario."
2,2,Galería de la Ciudad,,museosygalerias@yahoo.com.mx,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=342,Se exponen obras de calidad y gran importancia en el mundo de las Artes. Exhibición temporal que dura aproximadamente 3 meses.
3,3,Galería de Artes Gráficas El Obraje,https://eservicios2.aguascalientes.gob.mx/eventosPortal/evento/718/Actividades%20M%C3%BAltiples,museosygalerias@yahoo.com.mx,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=340,"Galería de exposiciones temporales, en la que se expone gran cantidad de obras de arte, tanto nacional como internacional."
4,4,Galería de la Universidad de las Artes,,licenciaturaica@yahoo.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=1795,En esta galería los alumnos de artes visuales exponen su obra plástica.
5,5,Galería Urbana,https://www.uaa.mx/portal/evento/galeria-urbana-la-fiesta-de-los-que-nunca-mueren/,,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=1790,"Esta galería brinda a los fotógrafos internos y externos a ella, un espacio para dar a conocer su trabajo a través de una exposición de 20 fotografías en el exterior de la universidad, sobre las avenidas Universidad y Aguascalientes."
6,6,Galería Artica,,centrodeartesvisuales@yahoo.com.mx,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=1483,"Es el único espacio que se renta a los artistas para exposiciones, está enfocado a incentivar la autogestión y promoción de sus obras. Ofrece diversas exposiciones temporales, manifestaciones plásticas producto de participaciones en certámenes de arte."
7,7,Galería Benjamín Manzo ,,,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=745,El nombre de la galería sirve como homenaje por parte del Instituto Cultural de Aguascalientes a uno de los artistas plásticos más destacados de Aguascalientes.
8,8,Galería Pons,,c.culturallosarquitos@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=337,"Exhibe obras temporales de reconocidos artístas locales, nacionales y extranjeros."
9,9,Galería Madama,https://madama.mx/,contacto@madama.mx,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=1895,Es un centro de exposición artística y cultural para artistas locales de la región.
10,10,Galería Francisco Díaz de León,,casajesusteran@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=356,"Conocida como Casa Terán, fue inaugurada hacia el año 1992 al celebrarse el CXXVI aniversario de la muerte de Jesús Terán, es una galería de exposiciones temporales."
11,11,Galería del Centro de Artes Visuales,,centrodeartesvisuales@yahoo.com.mx,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=341,"Esta galería ha sido sede de exposiciones temporales destacadas, corrientes artísticas o colecciones del extranjero, así como un espacio para artistas locales."
12,12,Galería Rampa,,,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=346,"Galería de arte con venta de esculturas de madera, acera, óleo y arte en vitrales"
13,13,Galería Afrodita 112,,galeriaafrodita112@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=1282,"Este espacio presenta y promueve obra plástica apoyando el talento mexicano, generando cultura a través de proyectos artísticos de nuestros connacionales."
14,14,Galería Ex -Escuela de Cristo,,museosygalerias@yahoo.com.mx,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=657,"Una extraordinaria galería de arte, donde se goza siempre de la contemplación estética más pura, con exposiciones temporales."
15,15,Galería Aprendharte,http://www.aprendharte.com.mx/?fbclid=IwAR3N5K2Qr94NS9wbkpAEyBp6kLosu5NujGxt3Qy-4l96Ukhh7VvhE1gbtHA,aprenda@yahoo.com.mx,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=1798,"Se exhiben trabajos taurinos de artistas de la talla del desaparecido pintor taurino Pancho Flores, que se acompaña de los colores y matices de Cirilasso, así como la estética del artista alicantino Carlos Ruano Llopis."
16,16,Galería Universitaria,http://www.uaa.mx,jhgarcia@correo.uaa.mx,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=338,"Galería enfocada a las artes plásticas en general, reconocidos artistas dan a conocer sus obras de escultura, pintura, gráfica, arte objeto, fotografía, entre otros."
17,17,Galería de Arte Fernando González Medina,,,Aguascalientes,Rincón de Romos,http://sic.gob.mx/ficha.php?table=galeria&table_id=339,"Esta galería es la primera en su tipo en el subsistema de Universidades Tecnológicas de México, cuenta con 42 obras de artistas reconocidos a nivel nacional y local."
18,18,La Covacha/Foro Galería,,lacovachamusic@gmail.com,Baja California,Ensenada,http://sic.gob.mx/ficha.php?table=galeria&table_id=1064,Espacio dedicado a las artes
19,19,Galería La Oficina,,galerialaoficina@gmail.com,Baja California,Ensenada,http://sic.gob.mx/ficha.php?table=galeria&table_id=1543,Galería La Oficina su objetivo de dar preferencia a los artistas con temática social.
20,20,Sala de Exposiciones  del Centro INAH-Ensenada,,cominabc@yahoo.com,Baja California,Ensenada,http://sic.gob.mx/ficha.php?table=galeria&table_id=1844,"El edificio fue construido en Inglaterra y armado en Ensenada en 1887. Fue ocupado por la Compañía Americana (International Company of Mexico); después por la Compañía Inglesa (Mexican Land and Colonization Company) hasta 1917 y posteriormente permaneció cerrado cinco años. En 1922, el edificio fue tomado por la Aduana Marítima de la Secretaría de Hacienda. En 1992 el Gobierno Federal hace entrega oficial del edificio al Instituto Nacional de Antropología e Historia (INAH). Hoy presenta exhibiciones temporales contemporáneas e históricas."
21,21,Galería Ernesto Muñoz Acosta,https://www.cenart.gob.mx/2015/07/ensenada/,,Baja California,Ensenada,http://sic.gob.mx/ficha.php?table=galeria&table_id=1065,En esta galería exponen diversos artistas plásticos de la región.
22,22,Galería de  Pérez Meillón,http://www.mexonline.com/gpm.htm,,Baja California,Ensenada,http://sic.gob.mx/ficha.php?table=galeria&table_id=1024,Se presentan exposiciones de artistas nacionales como internacionales.
23,23,Galería Petanca,,hecherrod@yahoo.com,Baja California,Ensenada,http://sic.gob.mx/ficha.php?table=galeria&table_id=1025,"Héctor Herrera, pintor, abrió las puertas de la galería donde se exhiben dibujos de Emmanuel Prost."
24,24,Galería L86 ,,galerial86bc@gmail.com,Baja California,Ensenada,http://sic.gob.mx/ficha.php?table=galeria&table_id=704,"Esta galería promueve en todo momento dar libertad a los artistas, impulsando las diversas ramas del arte, como la escultura, la pintura o la fotografía y se pretende socializar para hacerlo accesible a muchos más sectores."
25,25,Galería Planta Libre,,,Baja California,Mexicali,http://sic.gob.mx/ficha.php?table=galeria&table_id=531,Lugar que se convierte en un espacio libre para la expresión de nuevos talentos y reunión de mentes creativas en busca de expresión.
26,26,Sala de Arte Rubén García Benavides,,,Baja California,Mexicali,http://sic.gob.mx/ficha.php?table=galeria&table_id=230,"La Sala de Artes de la UABC se localiza en el Centro Comunitario de la Unidad Central, Campus Mexicali. A partir del 1 de diciembre de 2011 se le nombró Sala de Artes Rubén García Benavides, en reconocimiento al artista plástico pionero de Baja California, cuyas pinturas han sido reconocidas a nivel nacional e internacional."
27,27,Galería José García Arroyo,,,Baja California,Mexicali,http://sic.gob.mx/ficha.php?table=galeria&table_id=229,Fue fundada por un colectivo entusiasta de artistas plásticos en la ciudad de Mexicali.
