,Unnamed: 0,Nombre,Página Web,Email,Entidad,Municipio,Enlace SIC,Descripción
0,0,Museo Nacional de la Muerte,http://museonacionaldelamuerte.uaa.mx,japadill@correo.uua.mx,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=1169,"El Museo Nacional de la Muerte debe su creación a la colección donada por el artista plástico Octavio Bajonero Gil a la Universidad Autónoma de Aguascalientes. En 2014 se propuso un nuevo discurso museográfico que muestre la iconografía de la muerte y el arte funerario en el desarrollo histórico de México, mediante una personalidad renovada y festiva, pero con un recuerdo de las manifestaciones tradicionales y coloridas de la muerte, tales como el papel picado y las calaveras de azúcar. Las nuevas salas de exposición contienen en comodato parte de la colección personal de Daniel Mercurio López Casillas."
1,1,Museo Ferrocarrilero,,mferrocarrilero@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=929,"Forma parte de la Plaza de las Tres Centurias del Complejo Ferrocarrilero del mismo nombre. Inaugurado en marzo de 2003 con el propósito de ofrecer un amplio panorama sobre los aspectos históricos y socioculturales del sistema ferroviario nacional, así como de su impacto económico, político social y cultural para el desarrollo de Aguascalientes y la región a principios del siglo XX.

Tiene por finalidad preservar y salvaguardar el equipo rodante, la herramienta utilizada dentro de los talleres del ferrocarril, mantener viva la memoria ferrocarrilera y ferroviaria a través de exposiciones temáticas, así como la preservación de material documental, oral o visual que permita dar un panorama general del funcionamiento e importancia de este medio de transporte en la entidad. La antigua estación, inaugurada el 20 de noviembre de 1911, contaba con salas de espera de primera y segunda clase, taquilla, el Express y el restaurante en la planta baja; en la planta alta se encontraban la oficina general del superintendente general de los talleres de Aguascalientes, la oficina de despachadores, la oficina de telegrafistas, la sala de telegrafista y oficinas de representantes sindicales. El almacén de carga es el edificio más antiguo dentro del predio de los ferrocarriles en Aguascalientes, sirviendo como bodega para la transportación de mercancías al norte y al sur de la República.

Está conformado por dos edificios, rehabilitados por el arquitecto José Luis García Ruvalcaba: el de la estación y el almacén de carga, además de los andenes y las vías colindantes. La museografía estuvo a cargo de los especialistas José Fonseca, Enrique Serrano, Hugo Villalobos y Evaristo Sánchez. Cuenta con una interesante colección de más de 10 mil piezas entre documentos, equipos rodantes, maquinaria y herramientas, en torno a la infraestructura ferroviaria en México."
2,2,Museo de Arte Contemporáneo No. 8,,mac8ica@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=217,"Pertenece al Instituto Cultural de Aguascalientes. Fue inaugurado en abril de 1991, en un edificio de la calle Juan de Montoro. Posteriormente, en junio de 1998, se reinauguró en las instalaciones de la finca denominada El número 8. Exhibe una colección conformada por las obras premiadas en el Concurso Nacional de Estudiantes de Artes Plásticas (1966-1979) y en el Encuentro Nacional de Arte Joven (1980 a la fecha), al cual convocan diversas instituciones culturales como parte de las actividades de la Feria Nacional de San Marcos."
3,3,Museo José Guadalupe Posada,,museoposada@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=1046,"Ubicado en un edificio de gran valor histórico que data de 1850. Fue la casa cural del Templo del Encino y posteriormente dio cabida a diversas oficinas de gobierno. En 1972 el inmueble fue remodelado e inaugurado el 16 de septiembre del mismo año para exhibir la obra del artista gráfico José Guadalupe Posada. En 1990 se adaptaron nuevos espacios de exhibición para exponer obra en papel.
En 1997 su material museístico fue renovado con fondos del Conaculta, mediante el Programa de Apoyo a la Infraestructura Cultural de los Estados (PAICE). El concepto museográfico fue creado por José Fonseca y José Luis Quiroz. El Museo es sede y organizador de la Bienal Internacional de Estampa José Guadalupe Posada, evento que tiene como antecedente al Concurso Nacional de Grabado (1993-2011)."
4,4,Museo Regional de Historia de Aguascalientes,http://www.inah.gob.mx/red-de-museos/235-museo-regional-de-historia-de-aguascalientes,aguascalientes.mrh@inah.gob.mx,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=219,"El Museo Regional de Historia de Aguascalientes fue inaugurado en octubre de 1988, en una construcción para casa habitación de principios del siglo XX (1908), muestra del virtuosismo del arquitecto Refugio Reyes Rivas. Sus características constructivas, espaciales y formales son un claro ejemplo de las soluciones típicas de la arquitectura historicista de la época.

Basándose en el partido tradicional de las casas de patio, con zaguán y reja, por el cual se llega al patio central, con sus corredores perimetrales, el arquitecto transformó la estructura espacial con dos recursos: el primero, ubicando como remate del acceso el espacio del comedor, con sus ventanas estilo art nouveau, y el segundo, con una esquina redondeada con arco y dintel única en la región. En el ala poniente del patio se localiza la capilla de la casa, con un altar de madera de estilo neogótico.

El discurso del museo contempla cuatro temas: Paleontología, da una idea general de las condiciones geológicas del Estado, resaltando su colección, en especial los fósiles endémicos. Arqueología, se exhiben diferentes piezas de la región que nos permiten desarrollar una idea del grado cultural de los grupos prehispánicos. Historias de fe, aprovechando la capilla de la casa con su altar trabajado en madera, se desarrolla el tema de religiosidad, su importancia cultural y la evolución en el tiempo. Conquista, dedicada principalmente a los temas de la guerra chichimeca, La ruta de la plata, El camino real de tierra adentro y la construcción del presidio hasta llegar a la Fundación de Aguascalientes. Cuenta con salón de conferencias. Organiza taller de comunicación educativa."
5,5,Descubre. Museo Interactivo de Ciencia y Tecnología,http://www.aguascalientes.gob.mx/descubre/,reservaciones.descubre1@gmail.com ,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=602,"Está ubicado en un edificio construido ex profeso con un proyecto del despacho de arquitectos López Guerra. Abrió sus puertas al público el 20 de noviembre de 1996, con el objetivo de fomentar el conocimiento de la ciencia y la tecnología entre la población, mediante actividades y programas interactivos dirigidos a personas de todas las edades. El concepto museográfico corrió a cargo de la compañía Evolución. Las áreas que lo integran llevan los nombres de Universo-astronomía, Planeta-geología, Ambiente-biología, Desarrollo-antropología, Desarrollo tecnológico, Jardín de la ciencia-física y Armalito, esta última remodelada en el año 2002. Cuenta con una pantalla IMAX para proyecciones de películas de gran formato, auditorio, biblioteca, videoteca, cafetería y tienda."
6,6,Museo Espacio,http://www.museoespacio.com.mx/,museoespacioags@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=1790,"Se encuentra ubicado en el complejo que forma parte de los antiguos talleres del ferrocarril, en los edificios 53 y 56, las naves que lo constituyen fueron en otro momento el taller de Carpintería Mecánica, en donde se construían moldes y modelos para la fabricación de zapatas.
Es un recinto creado para el Arte Contemporáneo y sus diversas expresiones. Su misión es preservar el patrimonio arquitectónico e histórico de los antiguos talleres de locomotoras, así como acercar a la comunidad y difundir entre la misma la impronta para el desarrollo social, económico e industrial que representan. Uno de sus objetivos principales es el de vincular al público en general a las diferentes prácticas artísticas contemporáneas, mediante exposiciones, exhibiciones, talleres, proyectos y actividades."
7,7,Museo del Juguete Tradicional Mexicano,,museodeljuguetetradicional@yahoo.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=1069,"El museo se encuentra en una finca que fue adaptada para tal fin. Este museo es de carácter comunitario y su objetivo es difundir el juguete tradicional mexicano de todas las regiones. Exhibe más de mil piezas en sus tres salas permanentes, además de un taller de creación de juguetes tradicionales."
8,8,Museo de Aguascalientes,,museoaguascalientes@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=223,"El inmueble de estilo neoclásico construido en 1903 fue colegio católico, Liceo para niñas. Remodelado en 1914 por el arquitecto Refugio Reyes Rivas. En 1915, después de haber sido ampliado y reformado, funcionó como Escuela Normal del Estado. Se inauguró como Museo de Aguascalientes en octubre de 1975, con motivo del IV centenario de la fundación oficial de la ciudad de Aguascalientes.
El viernes 12 de marzo de 2019 se llevó a cabo la reapertura del Museo. Se rehabilitó la zona exterior, se acondicionó un jardín escultórico, se levantó un escenario para la presentación de espectáculos culturales y se acondicionó un nuevo espacio museográfico."
9,9,Museo de Sitio los Arquitos,https://www.aguascalientes.gob.mx/temas/cultura/,c.culturallosarquitos@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=1453,"La construcción de este edificio fue aprobada por el Ayuntamiento en el año 1821. Originalmente el edificio funcionó como casa de baños públicos, con propiedades medicinales de las aguas termales. Estos baños recibían el agua de un acueducto que tenía unos 348 metros de extensión, los cuales servían para surtir a 13 tinas, una huerta, 4 baños al aire libre, lavaderos públicos y a una alberca conocida con el nombre de La Puga. Hoy este Centro Cultural Los Arquitos fue declarado monumento histórico en 1990, y fue objeto de un rescate y restauración arquitectónicos a principios de 1993, convirtiéndolo en un sitio dedicado al arte y la cultura. La construcción del Museo permite apreciar una combinación de estilos de los que resaltan el neoclásico del Hotel San Carlos, junto con una arquería de estilo neogótica.
El museo aglutina objetos y recuerdos de la antigua actividad que se desarrollaba en Aguascalientes."
