,Unnamed: 0,Nombre,Página Web,Email,Entidad,Municipio,Enlace SIC,Descripción
0,0,Foro La Puga,,c.culturallosarquitos@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=teatro&table_id=335,"Forma parte de las instalaciones del Centro Cultural Los Arquitos. Fue construido en 1882 e inaugurado el 31 de mayo del mismo año, teniendo diferentes usos al paso del tiempo: baños y albercas (los primeros, edificados para la recreación de los habitantes de la ciudad, además de ser los lavaderos públicos más grandes del centro de la república); posteriormente fue colegio, casa habitación y hotel. El foro, que fuera la primera alberca pública del estado, fue diseñada y construida por Antonio Puga Álvarez. La adaptación y remodelación del espacio estuvo a cargo del arquitecto José Luis García Ruvalcaba y concluyó en 1994, reinaugurándose en noviembre de 1997. En este espacio se representan espectáculos teatrales y musicales."
1,1,Teatro Morelos,https://www.travelbymexico.com/aguascalientes/atractivos/?nom=eagsteatromore,informacion.ica@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=teatro&table_id=329,"Fue diseñado por el ingeniero José Noriega e inaugurado el 25 de octubre de 1885 con el drama italiano La muerte civil, dirigido por Leopoldo Burón. En 1914 fue recinto de la Soberana Convención Revolucionaria de Aguascalientes. El 30 de marzo de 1993 el inmueble fue declarado, por decreto presidencial, Monumento Histórico de la Nación. Ofrece espectáculos de teatro, ópera, música, danza, variedades, eventos infantiles, festivales y conferencias."
2,2,Teatro Víctor Sandoval (antes Teatro del Parque),http://www.aguascalientes.gob.mx/temas/cultura/espacios/teatros/victor.aspx,josereynosomtz@hotmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=teatro&table_id=330,"El lugar que hoy ocupa forma parte de la readaptación del conjunto de espacios del Centro de Diseño Artesanal construido en 1971 y diseñado por el arquitecto Carlos Parga. Está integrado a la Escuela de Danza. Ofrece espectáculos de teatro, música, danza, eventos infantiles, festivales y conferencias. Durante el periodo que dura la Feria de San Marcos, se presentan importantes eventos culturales y artísticos."
3,3,Teatro de la Alameda ,,alejandrina.rodriguez@aguascalientes.gob.mx,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=teatro&table_id=336,1 de octubre de 1945
4,4,Teatro Francisco Gabilondo Soler Cri-Cri,,jorge.villa@aguascalientes.gob.mx; brenda.rodriguezm@aguascalientes.gob.mx,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=teatro&table_id=78,24 de mayo de 1989
5,5,Foro Cultural MUSE,https://museoeer.wixsite.com/muse/contacto,foromuseoescarcega@gmail.com; ricardo.gestioncultural@gmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=teatro&table_id=976,
6,6,Teatro Aguascalientes,https://www.aguascalientes.gob.mx/,informacion.ica@gmail,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=teatro&table_id=328,"Fue diseñado por el arquitecto Abraham Zabludowsky, de estilo modernista este escenario fue inaugurado el 3 de octubre de 1991 con la obra Antología de la Zarzuela, dirigida por José Tamayo. Presenta obras de teatro, ópera, música, danza, espectáculos infantiles, festivales, conferencias e informes de gobierno."
7,7,Foro Cultural al Trote,http://www.altrote.com.mx/,contacto@altrote.com.mx,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=teatro&table_id=830,1 de enero de 1994
8,8,Teatro Antonio Leal y Romero,https://www.aguascalientes.gob.mx/ica/tantonio.html,josereynosomtz@hotmail.com,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=teatro&table_id=334,"Forma parte de las instalaciones de la Casa de Cultura cuyo edificio data del siglo XVIII y tuvo al paso de los años varios usos, entre ellos: residencia familiar, Colegio para niñas, claustro de monjas, escuela federal y actualmente sede del Instituto Cultural de Aguascalientes. Fue inaugurado el 16 de octubre de 1986. En él se llevan a cabo espectáculos de teatro, música, festivales, eventos infantiles, proyecciones de cine así como ceremonias cívicas y escolares."
9,9,Teatro de la Casa de Cultura de Asientos,,informacion.ica@aguascalientes.gob.mx,Aguascalientes,Asientos,http://sic.gob.mx/ficha.php?table=teatro&table_id=541,"Este espacio forma parte de las instalaciones de la Casa de Cultura de Asientos. Fue inaugurado en 1998 y construído exprofeso para llevar a cabo actividades escénicas, así como asambleas y conferencias."
