,Unnamed: 0,Nombre,Página Web,Email,Entidad,Municipio,Enlace SIC,Descripción
0,0,El Vallecito,http://www.inah.gob.mx/zonas/58-zona-arqueologica-el-vallecito,direccion.bc@inah.gob.mx,Baja California,Tecate,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=1,"Baja California es una región que como el resto del norte de América fue poblada desde hace más de 10 mil años, los estudios evidencian que existieron cazadores de fauna extinta que se denominan paleoindígenas, mismos que nos legaron instrumentos de cacería encontrados en las orillas de las lagunas ahora secas. En épocas más recientes en toda esta región existieron sociedades de cazadores - recolectores y agricultores incipientes que ocupaban zonas territoriales. Actualmente sobreviven hablantes de la familia lingüistica yumana emparentadas entre sí que se denominan Kumiai, Pai-pai, Kiliwa y Cucapá. En el sitio El Vallecito se aprecia pintura rupestre cuyo estilo regional se denomina actualmente como Diegueño Representacional."
1,1,Cueva La Música,http://www.inah.gob.mx/es/zonas/59-zona-arqueologica-de-la-sierra-de-san-francisco,sierrasanfrancisco@hotmail.com,Baja California Sur,Mulegé,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=160,"Se localiza hacia la parte central de la Península de Baja California, en la región conocida como Aridoámerica, consiste en un conjunto de pinturas rupestres pertenecientes al estilo Gran Mural. Las cuevas que albergan conjuntos de pinturas son: La Pintada, Las Flechas, La Música, La Soledad, Boca San Julio, Cuesta Palmarito y El Ratón."
2,2,Cueva La Pintada,http://www.inah.gob.mx/es/zonas/59-zona-arqueologica-de-la-sierra-de-san-francisco,sierrasanfrancisco@hotmail.com,Baja California Sur,Mulegé,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=158,"Se localiza hacia la parte central de la Península de Baja California, en la región conocida como Aridoámerica, consiste en un conjunto de pinturas rupestres pertenecientes al estilo Gran Mural. Las cuevas que albergan conjuntos de pinturas son: La Pintada, Las Flechas, La Música, La Soledad, Boca San Julio, Cuesta Palmarito y El Ratón."
3,3,Cueva Las Flechas,http://www.inah.gob.mx/es/zonas/59-zona-arqueologica-de-la-sierra-de-san-francisco,sierrasanfrancisco@hotmail.com,Baja California Sur,Mulegé,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=161,"Se localiza hacia la parte central de la Península de Baja California, en la región conocida como Aridoámerica, consiste en un conjunto de pinturas rupestres pertenecientes al estilo Gran Mural. Las cuevas que albergan conjuntos de pinturas son: La Pintada, Las Flechas, La Música, La Soledad, Boca San Julio, Cuesta Palmarito y El Ratón."
4,4,Cueva Cuesta Palmarito,http://www.inah.gob.mx/es/zonas/59-zona-arqueologica-de-la-sierra-de-san-francisco,sierrasanfrancisco@hotmail.com,Baja California Sur,Mulegé,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=157,"Se localiza hacia la parte central de la Península de Baja California, en la región conocida como Aridoámerica, consiste en un conjunto de pinturas rupestres pertenecientes al estilo Gran Mural. Las cuevas que albergan conjuntos de pinturas son: La Pintada, Las Flechas, La Música, La Soledad, Boca San Julio, Cuesta Palmarito y El Ratón."
5,5,Cueva Boca San Julio,http://www.inah.gob.mx/es/zonas/59-zona-arqueologica-de-la-sierra-de-san-francisco,sierrasanfrancisco@hotmail.com,Baja California Sur,Mulegé,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=162,"Localidad o poblado más cercano: San Francisco de la Sierra, Municipio: Mulegé, Estado: Baja California Sur"
6,6,Cueva La Soledad,http://www.inah.gob.mx/es/zonas/59-zona-arqueologica-de-la-sierra-de-san-francisco,sierrasanfrancisco@hotmail.com,Baja California Sur,Mulegé,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=172,"Se localiza hacia la parte central de la Península de Baja California, en la región conocida como Aridoámerica, consiste en un conjunto de pinturas rupestres pertenecientes al estilo Gran Mural. Las cuevas que albergan conjuntos de pinturas son: La Pintada, Las Flechas, La Música, La Soledad, Boca San Julio, Cuesta Palmarito y El Ratón. Es necesario llegar a San Francisco de la Sierra por la terracería que inicia en el tramo de la carretera transpeninsular (federal número 1) que une a la población de San Ignacio con la de Vizcaíno (aproximadamente a 46.7 kilómetros de la desviación, que conduce a San Ignacio). Hay que trasladarse al Cañón de Santa Teresa y pasar la noche en el paraje autorizado por el INAH para acampar (El Cacarizo); para esto, desde la ranchería de San Francisco de la Sierra se debe iniciar un recorrido en burro o a pie por aproximadamente cinco horas."
7,7,Cueva El Ratón,http://www.inah.gob.mx/es/zonas/59-zona-arqueologica-de-la-sierra-de-san-francisco,sierrasanfrancisco@hotmail.com,Baja California Sur,Mulegé,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=2,"Se localiza hacia la parte central de la Península de Baja California, en la región conocida como Aridoámerica, consiste en un conjunto de pinturas rupestres pertenecientes al estilo Gran Mural. Las cuevas que albergan conjuntos de pinturas son: La Pintada, Las Flechas, La Música, La Soledad, Boca San Julio, Cuesta Palmarito y El Ratón."
8,8,Edzná,http://www.inah.gob.mx/zonas/65-zona-arqueologica-edzna,candelaria_duarte@inah.gob.mx; direccion.camp@inah.gob.mx,Campeche,Campeche,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=9,"La Casa de los Itzáes, con más de una veintena de edificios monumentales nos habla de la concentración del poder político, económico y religioso ocurrido en tiempos precolombinos especialmente entre los años 600 y 1200 de nuestra era.


El asentamiento precolombino tuvo una extensión promedio de 25 km². Las primeras evidencias de presencia humana datan del año 600 a.C. Una pequeña comunidad creció, se desarrolló y conformó, poco antes del inicio de nuestra era, un gobierno centralizado. Se construyó un eficiente sistema de captación, almacenamiento y desecho pluvial; se concentró la producción, se erigieron grandes edificios y se dominó a los pueblos de los alrededores. Edzná constituyó una poderosa capital regional del occidente peninsular entre los años 400 y 1000 d. C. Los siguientes cuatro siglos perdieron fuerza política y económica hasta su abandono alrededor del año 1450 d. C. Como en otros sitios del mundo maya, las primeras edificaciones de Edzná fueron revestidas con grandes bloques de caliza, regularmente cortados, cubiertos con gruesos aplanados de estuco y pintados de rojo intenso. Muchas fachadas fueron decoradas con rostros de dioses, con animales míticos y símbolos; los motivos eran de estuco modelado (similar al yeso) y eran pintados de varios colores. Todos estos elementos se consideran característicos de la arquitectura Petén. El desarrollo del sitio llevó luego a crear edificios con otros estilos arquitectónicos como Chenes, Puuc y Tardíos. De modo que en Edzná encontramos una larga secuencia de construcciones a lo largo de poco más de 15 siglos."
9,9,Xcalumkín,http://www.inah.gob.mx/zonas/70-zona-arqueologica-de-xcalumkin,candelaria_duarte@inah.gob.mx; direccion.camp@inah.gob.mx,Campeche,Hecelchakán,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=13,"Es uno de los sitios más ricos en epigrafía y de los mejores ejemplos de la arquitectura Pucc en el estado. Es considerada la capital regional de cuando menos 25 sitios que se ubican a su alrededor, recientemente se han efectuado trabajos de restauración y prospección del lugar. Según Maler, el toponímico puede traducirse como “Suelo Doblemente Bueno Expuesto al Sol”, aunque el historiador norteamericano Ralph Roys propone que el nombre del sitio puede ser Calomkín, que significa “Ventana por donde entra el Sol”.


La secuencia cerámica de Xcalumkín principia con algunos materiales del Preclásico Tardío, escasa presencia del Clásico Temprano y fuerte ocupación del Clásico Tardío y Terminal. Las fechas registradas en las inscripciones jeroglíficas de Xcalumkín van del 731 al 771 de nuestra era. Aparentemente no hay elementos del Posclásico. Xcalumkín fue un asentamiento maya importante del periodo Clásico, en especial del 600 al 1000 de nuestra era. Sus vestigios se extienden en una superficie promedio de 10 km². En sus inmuebles se ha documentado la sucesión de tres fases arquitectónicas propias del estilo Puuc. Cabe comentar que sólo unos cuantos edificios de Xcalumkín fueron usados como templos; no existen basamentos piramidales de gran altura y tampoco se ha registrado juego de pelota."
